accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_OOF,tot_seq_OOF,num_of_tag_OOF,num_of_tga_OOF,num_of_taa_OOF,total_number_of_ASC_OOF,frequency_tag_OOF,frequency_tga_OOF,frequency_taa_OOF,frequency_ASC_OOF
CP003350,3288,59184,56,270,53,379,0.0028,0.0137,0.0027,0.0192,3288,59184,79,261,42,382,0.004,0.0132,0.0021,0.0194
CP001678,3201,57618,176,319,387,882,0.0092,0.0166,0.0201,0.0459,3201,57618,258,308,396,962,0.0134,0.016,0.0206,0.0501
CP006914,919,16542,82,88,164,334,0.0149,0.016,0.0297,0.0606,919,16542,68,76,156,300,0.0123,0.0138,0.0283,0.0544
CP003096,1944,34992,128,171,218,517,0.011,0.0147,0.0187,0.0443,1944,34992,142,183,196,521,0.0122,0.0157,0.0168,0.0447
CP000655,2132,38376,187,219,334,740,0.0146,0.0171,0.0261,0.0578,2132,38376,212,240,325,777,0.0166,0.0188,0.0254,0.0607
FP929048,2118,38124,150,141,612,903,0.0118,0.0111,0.0482,0.0711,2118,38124,162,127,501,790,0.0127,0.01,0.0394,0.0622
CP000481,2214,39852,38,126,19,183,0.0029,0.0095,0.0014,0.0138,2214,39852,48,124,22,194,0.0036,0.0093,0.0017,0.0146
CP002453,4347,78246,422,367,1129,1918,0.0162,0.0141,0.0433,0.0735,4347,78246,472,351,1255,2078,0.0181,0.0135,0.0481,0.0797
CP007201,3301,59418,225,322,492,1039,0.0114,0.0163,0.0248,0.0525,3301,59418,235,292,522,1049,0.0119,0.0147,0.0264,0.053
AP012200,1773,31914,160,156,404,720,0.015,0.0147,0.038,0.0677,1773,31914,134,178,445,757,0.0126,0.0167,0.0418,0.0712
CP001785,2210,39780,86,90,109,285,0.0065,0.0068,0.0082,0.0215,2210,39780,91,114,128,333,0.0069,0.0086,0.0097,0.0251
CP007128,4567,82206,90,211,49,350,0.0033,0.0077,0.0018,0.0128,4567,82206,129,317,87,533,0.0047,0.0116,0.0032,0.0195
CP000747,3579,64422,111,197,40,348,0.0052,0.0092,0.0019,0.0162,3579,64422,142,183,61,386,0.0066,0.0085,0.0028,0.018
CP002280,2282,41076,149,216,165,530,0.0109,0.0158,0.0121,0.0387,2282,41076,207,177,199,583,0.0151,0.0129,0.0145,0.0426
CP001013,4445,80010,58,335,33,426,0.0022,0.0126,0.0012,0.016,4445,80010,62,406,30,498,0.0023,0.0152,0.0011,0.0187
HE983995,841,15138,98,75,187,360,0.0194,0.0149,0.0371,0.0713,841,15138,94,64,218,376,0.0186,0.0127,0.0432,0.0745
CP000252,3219,57942,75,383,272,730,0.0039,0.0198,0.0141,0.0378,3219,57942,79,391,261,731,0.0041,0.0202,0.0135,0.0378
CP006955,2448,44064,196,253,429,878,0.0133,0.0172,0.0292,0.0598,2448,44064,190,207,481,878,0.0129,0.0141,0.0327,0.0598
CP000478,4162,74916,57,320,78,455,0.0023,0.0128,0.0031,0.0182,4162,74916,51,297,82,430,0.002,0.0119,0.0033,0.0172
CP001843,3683,66294,223,310,455,988,0.0101,0.014,0.0206,0.0447,3683,66294,224,293,436,953,0.0101,0.0133,0.0197,0.0431
CP002629,3023,54414,156,295,288,739,0.0086,0.0163,0.0159,0.0407,3023,54414,159,248,299,706,0.0088,0.0137,0.0165,0.0389
CP001681,4339,78102,323,442,1038,1803,0.0124,0.017,0.0399,0.0693,4339,78102,356,444,1109,1909,0.0137,0.0171,0.0426,0.0733
AP012304,4531,81558,85,367,80,532,0.0031,0.0135,0.0029,0.0196,4531,81558,129,350,102,581,0.0047,0.0129,0.0038,0.0214
CP003346,4684,84312,380,535,824,1739,0.0135,0.019,0.0293,0.0619,4684,84312,414,565,873,1852,0.0147,0.0201,0.0311,0.0659
CP002042,3251,58518,197,201,144,542,0.0101,0.0103,0.0074,0.0278,3251,58518,229,168,177,574,0.0117,0.0086,0.0091,0.0294
CP003203,4337,78066,185,356,125,666,0.0071,0.0137,0.0048,0.0256,4337,78066,202,311,124,637,0.0078,0.012,0.0048,0.0245
CP003653,4544,81792,437,522,1209,2168,0.016,0.0191,0.0443,0.0795,4544,81792,433,508,1210,2151,0.0159,0.0186,0.0444,0.0789
CR767821,920,16560,64,76,280,420,0.0116,0.0138,0.0507,0.0761,920,16560,85,74,317,476,0.0154,0.0134,0.0574,0.0862
CP002691,6609,118962,473,925,820,2218,0.0119,0.0233,0.0207,0.0559,6609,118962,551,983,888,2422,0.0139,0.0248,0.0224,0.0611
CP001814,9478,170604,180,561,97,838,0.0032,0.0099,0.0017,0.0147,9478,170604,217,571,106,894,0.0038,0.01,0.0019,0.0157
CP006778,768,13824,53,0,194,247,0.0115,0,0.0421,0.0536,768,13824,48,0,199,247,0.0104,0,0.0432,0.0536
AP012492,2321,41778,198,215,339,752,0.0142,0.0154,0.0243,0.054,2321,41778,233,185,418,836,0.0167,0.0133,0.03,0.06
CP011052,4351,78318,312,411,465,1188,0.012,0.0157,0.0178,0.0455,4351,78318,308,461,456,1225,0.0118,0.0177,0.0175,0.0469
AE015928,4873,87714,378,511,1009,1898,0.0129,0.0175,0.0345,0.0649,4873,87714,404,560,1101,2065,0.0138,0.0192,0.0377,0.0706
CP002039,4804,86472,133,451,127,711,0.0046,0.0156,0.0044,0.0247,4804,86472,143,534,150,827,0.005,0.0185,0.0052,0.0287
CP000141,2707,48726,114,181,488,783,0.007,0.0111,0.03,0.0482,2707,48726,121,155,500,776,0.0074,0.0095,0.0308,0.0478
CP000792,2048,36864,192,183,490,865,0.0156,0.0149,0.0399,0.0704,2048,36864,167,134,425,726,0.0136,0.0109,0.0346,0.0591
AP010968,7569,136242,80,315,31,426,0.0018,0.0069,0.0007,0.0094,7569,136242,151,348,51,550,0.0033,0.0077,0.0011,0.0121
AP008230,5060,91080,243,438,595,1276,0.008,0.0144,0.0196,0.042,5060,91080,261,440,643,1344,0.0086,0.0145,0.0212,0.0443
CP000116,2879,51822,80,199,43,322,0.0046,0.0115,0.0025,0.0186,2879,51822,98,179,84,361,0.0057,0.0104,0.0049,0.0209
CP004856,3189,57402,172,320,284,776,0.009,0.0167,0.0148,0.0406,3189,57402,174,298,314,786,0.0091,0.0156,0.0164,0.0411
CP001707,2697,48546,230,305,491,1026,0.0142,0.0188,0.0303,0.0634,2697,48546,219,290,506,1015,0.0135,0.0179,0.0313,0.0627
CP001992,1966,35388,96,163,131,390,0.0081,0.0138,0.0111,0.0331,1966,35388,102,133,122,357,0.0086,0.0113,0.0103,0.0303
CP002347,2117,38106,138,206,416,760,0.0109,0.0162,0.0328,0.0598,2117,38106,109,172,404,685,0.0086,0.0135,0.0318,0.0539
FQ312005,3249,58482,325,334,700,1359,0.0167,0.0171,0.0359,0.0697,3249,58482,308,313,717,1338,0.0158,0.0161,0.0368,0.0686
CP010803,4495,80910,72,346,99,517,0.0027,0.0128,0.0037,0.0192,4495,80910,82,349,95,526,0.003,0.0129,0.0035,0.0195
CP000383,3837,69066,327,387,906,1620,0.0142,0.0168,0.0394,0.0704,3837,69066,284,390,918,1592,0.0123,0.0169,0.0399,0.0692
CP007446,2370,42660,134,241,482,857,0.0094,0.0169,0.0339,0.0603,2370,42660,156,272,471,899,0.011,0.0191,0.0331,0.0632
CP000679,2844,51192,172,302,478,952,0.0101,0.0177,0.028,0.0558,2844,51192,174,300,473,947,0.0102,0.0176,0.0277,0.0555
CP002701,614,11052,42,48,170,260,0.0114,0.013,0.0461,0.0706,614,11052,42,51,185,278,0.0114,0.0138,0.0502,0.0755
CP001087,4945,89010,158,500,561,1219,0.0053,0.0169,0.0189,0.0411,4945,89010,176,504,634,1314,0.0059,0.017,0.0214,0.0443
CP000157,3056,55008,86,172,84,342,0.0047,0.0094,0.0046,0.0187,3056,55008,124,214,84,422,0.0068,0.0117,0.0046,0.023
CP003281,3879,69822,307,506,838,1651,0.0132,0.0217,0.036,0.0709,3879,69822,308,501,870,1679,0.0132,0.0215,0.0374,0.0721
CP001896,3190,57420,59,278,38,375,0.0031,0.0145,0.002,0.0196,3190,57420,80,310,52,442,0.0042,0.0162,0.0027,0.0231
CP006650,3481,62658,69,271,71,411,0.0033,0.013,0.0034,0.0197,3481,62658,65,254,79,398,0.0031,0.0122,0.0038,0.0191
CP003147,5162,92916,259,466,400,1125,0.0084,0.015,0.0129,0.0363,5162,92916,291,513,449,1253,0.0094,0.0166,0.0145,0.0405
CP005990,1912,34416,50,197,53,300,0.0044,0.0172,0.0046,0.0262,1912,34416,59,143,50,252,0.0051,0.0125,0.0044,0.022
AL935263,3058,55044,208,372,571,1151,0.0113,0.0203,0.0311,0.0627,3058,55044,234,401,586,1221,0.0128,0.0219,0.0319,0.0665
CP003130,4960,89280,295,428,218,941,0.0099,0.0144,0.0073,0.0316,4960,89280,307,402,243,952,0.0103,0.0135,0.0082,0.032
CP003075,3937,70866,94,268,130,492,0.004,0.0113,0.0055,0.0208,3937,70866,105,306,119,530,0.0044,0.013,0.005,0.0224
AP009552,6311,113598,575,667,1039,2281,0.0152,0.0176,0.0274,0.0602,6311,113598,655,682,1125,2462,0.0173,0.018,0.0297,0.065
CP009301,2938,52884,349,278,678,1305,0.0198,0.0158,0.0385,0.074,2938,52884,319,271,668,1258,0.0181,0.0154,0.0379,0.0714
AM260525,2136,38448,105,195,350,650,0.0082,0.0152,0.0273,0.0507,2136,38448,91,195,395,681,0.0071,0.0152,0.0308,0.0531
CP001674,2887,51966,152,321,250,723,0.0088,0.0185,0.0144,0.0417,2887,51966,131,329,274,734,0.0076,0.019,0.0158,0.0424
CP009706,4300,77400,267,462,501,1230,0.0103,0.0179,0.0194,0.0477,4300,77400,259,465,552,1276,0.01,0.018,0.0214,0.0495
HF951689,2876,51768,190,170,182,542,0.011,0.0099,0.0105,0.0314,2876,51768,226,219,197,642,0.0131,0.0127,0.0114,0.0372
CP003171,3320,59760,84,367,214,665,0.0042,0.0184,0.0107,0.0334,3320,59760,86,366,201,653,0.0043,0.0184,0.0101,0.0328
CP008802,1508,27144,87,90,58,235,0.0096,0.0099,0.0064,0.026,1508,27144,113,88,40,241,0.0125,0.0097,0.0044,0.0266
CP011265,3050,54900,120,219,179,518,0.0066,0.012,0.0098,0.0283,3050,54900,136,209,203,548,0.0074,0.0114,0.0111,0.0299
CP000927,5133,92394,131,372,91,594,0.0043,0.0121,0.003,0.0193,5133,92394,167,351,95,613,0.0054,0.0114,0.0031,0.0199
CP001818,1828,32904,68,131,77,276,0.0062,0.0119,0.007,0.0252,1828,32904,90,114,88,292,0.0082,0.0104,0.008,0.0266
CP000264,4260,76680,98,326,78,502,0.0038,0.0128,0.0031,0.0196,4260,76680,138,353,119,610,0.0054,0.0138,0.0047,0.0239
CP009415,1857,33426,149,177,389,715,0.0134,0.0159,0.0349,0.0642,1857,33426,125,174,386,685,0.0112,0.0156,0.0346,0.0615
CP001619,5855,105390,379,769,795,1943,0.0108,0.0219,0.0226,0.0553,5855,105390,400,766,831,1997,0.0114,0.0218,0.0237,0.0568
CP001834,2624,47232,182,275,534,991,0.0116,0.0175,0.0339,0.0629,2624,47232,159,248,524,931,0.0101,0.0158,0.0333,0.0591
CP007519,2082,37476,127,155,93,375,0.0102,0.0124,0.0074,0.03,2082,37476,148,137,93,378,0.0118,0.011,0.0074,0.0303
CP002432,2669,48042,67,281,100,448,0.0042,0.0175,0.0062,0.028,2669,48042,53,275,120,448,0.0033,0.0172,0.0075,0.028
CP002961,4029,72522,424,576,948,1948,0.0175,0.0238,0.0392,0.0806,4029,72522,450,577,1084,2111,0.0186,0.0239,0.0448,0.0873
CP003389,8101,145818,162,461,62,685,0.0033,0.0095,0.0013,0.0141,8101,145818,179,542,79,800,0.0037,0.0112,0.0016,0.0165
CP009291,3550,63900,86,226,86,398,0.004,0.0106,0.004,0.0187,3550,63900,114,298,82,494,0.0054,0.014,0.0038,0.0232
CP000360,4831,86958,224,378,180,782,0.0077,0.013,0.0062,0.027,4831,86958,204,354,223,781,0.007,0.0122,0.0077,0.0269
CP010049,642,11556,55,49,190,294,0.0143,0.0127,0.0493,0.0763,642,11556,41,67,221,329,0.0106,0.0174,0.0574,0.0854
CP002131,2348,42264,126,185,315,626,0.0089,0.0131,0.0224,0.0444,2348,42264,97,185,321,603,0.0069,0.0131,0.0228,0.0428
CP001875,4349,78282,149,481,425,1055,0.0057,0.0184,0.0163,0.0404,4349,78282,140,431,438,1009,0.0054,0.0165,0.0168,0.0387
AP009179,2466,44388,165,252,362,779,0.0112,0.017,0.0245,0.0526,2466,44388,162,252,311,725,0.0109,0.017,0.021,0.049
AP009178,1857,33426,127,197,189,513,0.0114,0.0177,0.017,0.046,1857,33426,134,139,195,468,0.012,0.0125,0.0175,0.042
CP000859,3323,59814,80,282,225,587,0.004,0.0141,0.0113,0.0294,3323,59814,73,267,234,574,0.0037,0.0134,0.0117,0.0288
CP001032,4705,84690,144,341,73,558,0.0051,0.0121,0.0026,0.0198,4705,84690,158,387,108,653,0.0056,0.0137,0.0038,0.0231
CP001874,3662,65916,66,182,33,281,0.003,0.0083,0.0015,0.0128,3662,65916,85,204,36,325,0.0039,0.0093,0.0016,0.0148
CP002976,3612,65016,103,295,91,489,0.0048,0.0136,0.0042,0.0226,3612,65016,99,301,119,519,0.0046,0.0139,0.0055,0.0239
AP012333,1599,28782,65,158,68,291,0.0068,0.0165,0.0071,0.0303,1599,28782,69,170,75,314,0.0072,0.0177,0.0078,0.0327
CP002999,3525,63450,295,359,689,1343,0.0139,0.017,0.0326,0.0635,3525,63450,285,402,673,1360,0.0135,0.019,0.0318,0.0643
CP001966,4300,77400,96,294,36,426,0.0037,0.0114,0.0014,0.0165,4300,77400,192,261,51,504,0.0074,0.0101,0.002,0.0195
CP003058,2472,44496,109,254,184,547,0.0073,0.0171,0.0124,0.0369,2472,44496,145,250,189,584,0.0098,0.0169,0.0127,0.0394
CP001823,2517,45306,48,135,19,202,0.0032,0.0089,0.0013,0.0134,2517,45306,52,130,33,215,0.0034,0.0086,0.0022,0.0142
CP002825,3027,54486,318,214,1039,1571,0.0175,0.0118,0.0572,0.0865,3027,54486,264,196,1050,1510,0.0145,0.0108,0.0578,0.0831
CP006866,3332,59976,150,319,243,712,0.0075,0.016,0.0122,0.0356,3332,59976,156,334,286,776,0.0078,0.0167,0.0143,0.0388
CP000232,2581,46458,123,152,272,547,0.0079,0.0098,0.0176,0.0353,2581,46458,117,158,269,544,0.0076,0.0102,0.0174,0.0351
CP000377,3076,55368,83,308,74,465,0.0045,0.0167,0.004,0.0252,3076,55368,91,280,101,472,0.0049,0.0152,0.0055,0.0256
CP001618,4278,77004,61,151,10,222,0.0024,0.0059,0.0004,0.0086,4278,77004,96,194,15,305,0.0037,0.0076,0.0006,0.0119
CP002171,2831,50958,138,232,532,902,0.0081,0.0137,0.0313,0.0531,2831,50958,147,222,558,927,0.0087,0.0131,0.0329,0.0546
CP002521,4851,87318,67,219,51,337,0.0023,0.0075,0.0018,0.0116,4851,87318,81,268,55,404,0.0028,0.0092,0.0019,0.0139
CP005964,2717,48906,162,295,442,899,0.0099,0.0181,0.0271,0.0551,2717,48906,158,250,431,839,0.0097,0.0153,0.0264,0.0515
HE804045,8427,151686,162,380,49,591,0.0032,0.0075,0.001,0.0117,8427,151686,212,466,74,752,0.0042,0.0092,0.0015,0.0149
CP001726,3184,57312,66,144,64,274,0.0035,0.0075,0.0034,0.0143,3184,57312,94,173,64,331,0.0049,0.0091,0.0034,0.0173
FR872580,2788,50184,190,291,439,920,0.0114,0.0174,0.0262,0.055,2788,50184,204,305,490,999,0.0122,0.0182,0.0293,0.0597
CP000422,1847,33246,136,177,412,725,0.0123,0.016,0.0372,0.0654,1847,33246,107,160,403,670,0.0097,0.0144,0.0364,0.0605
CP001819,3800,68400,58,192,10,260,0.0025,0.0084,0.0004,0.0114,3800,68400,100,265,11,376,0.0044,0.0116,0.0005,0.0165
CP008803,2903,52254,71,279,116,466,0.0041,0.016,0.0067,0.0268,2903,52254,69,271,94,434,0.004,0.0156,0.0054,0.0249
CP006958,6146,110628,144,397,106,647,0.0039,0.0108,0.0029,0.0175,6146,110628,177,409,115,701,0.0048,0.0111,0.0031,0.019
CP002018,2733,49194,65,208,90,363,0.004,0.0127,0.0055,0.0221,2733,49194,100,215,128,443,0.0061,0.0131,0.0078,0.027
CP001634,2224,40032,109,199,253,561,0.0082,0.0149,0.019,0.042,2224,40032,98,202,224,524,0.0073,0.0151,0.0168,0.0393
CP000875,5059,91062,326,563,411,1300,0.0107,0.0185,0.0135,0.0428,5059,91062,425,428,460,1313,0.014,0.0141,0.0152,0.0433
FP929045,2756,49608,68,237,168,473,0.0041,0.0143,0.0102,0.0286,2756,49608,88,257,177,522,0.0053,0.0155,0.0107,0.0316
CP000930,3138,56484,99,248,149,496,0.0053,0.0132,0.0079,0.0263,3138,56484,86,240,168,494,0.0046,0.0127,0.0089,0.0262
FM178379,3069,55242,251,387,668,1306,0.0136,0.021,0.0363,0.0709,3069,55242,266,390,737,1393,0.0144,0.0212,0.04,0.0756
CP006734,2519,45342,55,133,32,220,0.0036,0.0088,0.0021,0.0146,2519,45342,64,139,57,260,0.0042,0.0092,0.0038,0.0172
AP009380,2090,37620,133,183,202,518,0.0106,0.0146,0.0161,0.0413,2090,37620,133,219,219,571,0.0106,0.0175,0.0175,0.0455
AP012554,825,14850,80,84,248,412,0.0162,0.017,0.0501,0.0832,825,14850,65,88,248,401,0.0131,0.0178,0.0501,0.081
AE017282,3057,55026,69,224,58,351,0.0038,0.0122,0.0032,0.0191,3057,55026,60,230,73,363,0.0033,0.0125,0.004,0.0198
CP000910,3558,64044,218,304,163,685,0.0102,0.0142,0.0076,0.0321,3558,64044,224,315,164,703,0.0105,0.0148,0.0077,0.0329
CP006597,3160,56880,215,235,459,909,0.0113,0.0124,0.0242,0.0479,3160,56880,224,223,484,931,0.0118,0.0118,0.0255,0.0491
CP003280,3242,58356,271,351,762,1384,0.0139,0.018,0.0392,0.0711,3242,58356,300,337,745,1382,0.0154,0.0173,0.0383,0.071
CP007447,3064,55152,189,356,707,1252,0.0103,0.0194,0.0385,0.0681,3064,55152,191,297,658,1146,0.0104,0.0162,0.0358,0.0623
CP007152,4462,80316,117,370,177,664,0.0044,0.0138,0.0066,0.0248,4462,80316,110,343,181,634,0.0041,0.0128,0.0068,0.0237
CP000414,2073,37314,168,195,382,745,0.0135,0.0157,0.0307,0.0599,2073,37314,151,190,416,757,0.0121,0.0153,0.0334,0.0609
CP006939,3500,63000,142,350,219,711,0.0068,0.0167,0.0104,0.0339,3500,63000,115,353,242,710,0.0055,0.0168,0.0115,0.0338
BA000026,1037,18666,100,0,394,494,0.0161,0,0.0633,0.0794,1037,18666,75,0,377,452,0.0121,0,0.0606,0.0726
FP929032,2559,46062,100,246,258,604,0.0065,0.016,0.0168,0.0393,2559,46062,113,296,292,701,0.0074,0.0193,0.019,0.0457
CP007451,4155,74790,289,448,861,1598,0.0116,0.018,0.0345,0.0641,4155,74790,295,447,860,1602,0.0118,0.0179,0.0345,0.0643
CP003557,2902,52236,124,267,585,976,0.0071,0.0153,0.0336,0.0561,2902,52236,137,269,561,967,0.0079,0.0154,0.0322,0.0555
CP001643,3191,57438,18,143,4,165,0.0009,0.0075,0.0002,0.0086,3191,57438,54,200,14,268,0.0028,0.0104,0.0007,0.014
CP001706,2638,47484,75,241,51,367,0.0047,0.0152,0.0032,0.0232,2638,47484,83,283,56,422,0.0052,0.0179,0.0035,0.0267
AP012057,4291,77238,57,258,21,336,0.0022,0.01,0.0008,0.0131,4291,77238,103,294,36,433,0.004,0.0114,0.0014,0.0168
AP007255,4559,82062,100,365,92,557,0.0037,0.0133,0.0034,0.0204,4559,82062,97,357,108,562,0.0035,0.0131,0.0039,0.0205
CP002038,4687,84366,176,521,429,1126,0.0063,0.0185,0.0153,0.04,4687,84366,157,577,433,1167,0.0056,0.0205,0.0154,0.0415
AP006628,752,13536,29,69,230,328,0.0064,0.0153,0.051,0.0727,752,13536,40,72,223,335,0.0089,0.016,0.0494,0.0742
CP001614,4311,77598,302,344,479,1125,0.0117,0.0133,0.0185,0.0435,4311,77598,260,385,465,1110,0.0101,0.0149,0.018,0.0429
HG530068,7279,131022,177,467,114,758,0.0041,0.0107,0.0026,0.0174,7279,131022,169,478,123,770,0.0039,0.0109,0.0028,0.0176
CP011301,5750,103500,84,379,72,535,0.0024,0.011,0.0021,0.0155,5750,103500,104,446,102,652,0.003,0.0129,0.003,0.0189
CP000510,3861,69498,271,336,804,1411,0.0117,0.0145,0.0347,0.0609,3861,69498,264,357,893,1514,0.0114,0.0154,0.0385,0.0654
CP000140,3965,71370,342,427,789,1558,0.0144,0.0179,0.0332,0.0655,3965,71370,280,438,827,1545,0.0118,0.0184,0.0348,0.0649
CP002690,1910,34380,114,174,473,761,0.0099,0.0152,0.0413,0.0664,1910,34380,133,163,419,715,0.0116,0.0142,0.0366,0.0624
CP008788,5734,103212,227,576,556,1359,0.0066,0.0167,0.0162,0.0395,5734,103212,200,584,596,1380,0.0058,0.017,0.0173,0.0401
AP011529,2134,38412,162,227,529,918,0.0127,0.0177,0.0413,0.0717,2134,38412,158,182,510,850,0.0123,0.0142,0.0398,0.0664
CP002106,1841,33138,56,118,20,194,0.0051,0.0107,0.0018,0.0176,1841,33138,63,80,24,167,0.0057,0.0072,0.0022,0.0151
CP000750,4576,82368,49,158,8,215,0.0018,0.0058,0.0003,0.0078,4576,82368,79,218,15,312,0.0029,0.0079,0.0005,0.0114
LN614827,64,1152,2,0,3,5,0.0052,0,0.0078,0.013,64,1152,6,4,12,22,0.0156,0.0104,0.0312,0.0573
AP012978,2404,43272,41,147,31,219,0.0028,0.0102,0.0021,0.0152,2404,43272,49,158,41,248,0.0034,0.011,0.0028,0.0172
CP002628,1858,33444,33,148,31,212,0.003,0.0133,0.0028,0.019,1858,33444,53,173,23,249,0.0048,0.0155,0.0021,0.0223
CP000245,3927,70686,78,224,34,336,0.0033,0.0095,0.0014,0.0143,3927,70686,87,252,51,390,0.0037,0.0107,0.0022,0.0166
CP003255,3956,71208,50,259,90,399,0.0021,0.0109,0.0038,0.0168,3956,71208,43,295,96,434,0.0018,0.0124,0.004,0.0183
CP002444,1787,32166,135,141,194,470,0.0126,0.0132,0.0181,0.0438,1787,32166,95,101,177,373,0.0089,0.0094,0.0165,0.0348
CP000316,4956,89208,140,468,179,787,0.0047,0.0157,0.006,0.0265,4956,89208,163,530,176,869,0.0055,0.0178,0.0059,0.0292
CP001854,6001,108018,161,286,33,480,0.0045,0.0079,0.0009,0.0133,6001,108018,195,327,40,562,0.0054,0.0091,0.0011,0.0156
CP002281,1976,35568,138,186,402,726,0.0116,0.0157,0.0339,0.0612,1976,35568,140,144,423,707,0.0118,0.0121,0.0357,0.0596
AP010953,5609,100962,227,652,677,1556,0.0067,0.0194,0.0201,0.0462,5609,100962,201,609,695,1505,0.006,0.0181,0.0207,0.0447
CP000879,2015,36270,123,184,371,678,0.0102,0.0152,0.0307,0.0561,2015,36270,119,178,383,680,0.0098,0.0147,0.0317,0.0562
AP013105,2281,41058,70,126,64,260,0.0051,0.0092,0.0047,0.019,2281,41058,92,131,77,300,0.0067,0.0096,0.0056,0.0219
CP002452,2175,39150,89,242,153,484,0.0068,0.0185,0.0117,0.0371,2175,39150,101,215,137,453,0.0077,0.0165,0.0105,0.0347
CP002901,3837,69066,150,243,199,592,0.0065,0.0106,0.0086,0.0257,3837,69066,170,278,272,720,0.0074,0.0121,0.0118,0.0313
CP001100,2782,50076,140,321,358,819,0.0084,0.0192,0.0214,0.0491,2782,50076,163,325,405,893,0.0098,0.0195,0.0243,0.0535
AP010904,4629,83322,105,245,167,517,0.0038,0.0088,0.006,0.0186,4629,83322,125,256,187,568,0.0045,0.0092,0.0067,0.0205
FO538765,3807,68526,118,257,108,483,0.0052,0.0113,0.0047,0.0211,3807,68526,116,317,147,580,0.0051,0.0139,0.0064,0.0254
CP007030,2126,38268,196,209,346,751,0.0154,0.0164,0.0271,0.0589,2126,38268,194,201,374,769,0.0152,0.0158,0.0293,0.0603
CP001737,5471,98478,74,340,27,441,0.0023,0.0104,0.0008,0.0134,5471,98478,110,307,29,446,0.0034,0.0094,0.0009,0.0136
AP009153,3935,70830,106,331,47,484,0.0045,0.014,0.002,0.0205,3935,70830,84,371,44,499,0.0036,0.0157,0.0019,0.0211
HE999757,3581,64458,309,342,676,1327,0.0144,0.0159,0.0315,0.0618,3581,64458,304,345,713,1362,0.0141,0.0161,0.0332,0.0634
CP006949,1637,29466,113,127,240,480,0.0115,0.0129,0.0244,0.0489,1637,29466,117,143,259,519,0.0119,0.0146,0.0264,0.0528
AP014624,4828,86904,346,579,1199,2124,0.0119,0.02,0.0414,0.0733,4828,86904,363,628,1363,2354,0.0125,0.0217,0.0471,0.0813
CP001275,1972,35496,27,86,12,125,0.0023,0.0073,0.001,0.0106,1972,35496,34,106,17,157,0.0029,0.009,0.0014,0.0133
CP004348,2152,38736,179,264,305,748,0.0139,0.0204,0.0236,0.0579,2152,38736,212,252,356,820,0.0164,0.0195,0.0276,0.0635
CP002273,4660,83880,142,399,675,1216,0.0051,0.0143,0.0241,0.0435,4660,83880,162,415,680,1257,0.0058,0.0148,0.0243,0.045
CP002623,4428,79704,121,411,187,719,0.0046,0.0155,0.007,0.0271,4428,79704,129,400,198,727,0.0049,0.0151,0.0075,0.0274
BX908798,2031,36558,160,226,507,893,0.0131,0.0185,0.0416,0.0733,2031,36558,153,216,485,854,0.0126,0.0177,0.0398,0.0701
CP003198,2109,37962,107,156,293,556,0.0085,0.0123,0.0232,0.0439,2109,37962,118,177,231,526,0.0093,0.014,0.0183,0.0416
CP008804,1786,32148,96,234,355,685,0.009,0.0218,0.0331,0.0639,1786,32148,109,217,372,698,0.0102,0.0203,0.0347,0.0651
CP002859,5698,102564,429,747,923,2099,0.0125,0.0218,0.027,0.0614,5698,102564,407,673,1022,2102,0.0119,0.0197,0.0299,0.0615
FP929054,3155,56790,163,382,495,1040,0.0086,0.0202,0.0261,0.0549,3155,56790,169,352,478,999,0.0089,0.0186,0.0253,0.0528
CP002361,2301,41418,85,113,43,241,0.0062,0.0082,0.0031,0.0175,2301,41418,112,97,71,280,0.0081,0.007,0.0051,0.0203
