accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_OOF,tot_seq_OOF,num_of_tag_OOF,num_of_tga_OOF,num_of_taa_OOF,total_number_of_ASC_OOF,frequency_tag_OOF,frequency_tga_OOF,frequency_taa_OOF,frequency_ASC_OOF
AP012044,4656,83808,136,373,321,830,0.0049,0.0134,0.0115,0.0297,4656,83808,140,444,373,957,0.005,0.0159,0.0134,0.0343
CP004393,4443,79974,48,285,54,387,0.0018,0.0107,0.002,0.0145,4443,79974,49,318,64,431,0.0018,0.0119,0.0024,0.0162
CP000153,2163,38934,213,215,451,879,0.0164,0.0166,0.0348,0.0677,2163,38934,199,161,483,843,0.0153,0.0124,0.0372,0.065
CP000850,5173,93114,111,279,41,431,0.0036,0.009,0.0013,0.0139,5173,93114,117,291,49,457,0.0038,0.0094,0.0016,0.0147
CP001312,3587,64566,32,246,28,306,0.0015,0.0114,0.0013,0.0142,3587,64566,38,267,48,353,0.0018,0.0124,0.0022,0.0164
CP001607,2348,42264,154,284,445,883,0.0109,0.0202,0.0316,0.0627,2348,42264,133,246,473,852,0.0094,0.0175,0.0336,0.0605
CP002355,2607,46926,170,250,325,745,0.0109,0.016,0.0208,0.0476,2607,46926,184,212,371,767,0.0118,0.0136,0.0237,0.049
CP003051,3698,66564,92,234,70,396,0.0041,0.0105,0.0032,0.0178,3698,66564,117,244,74,435,0.0053,0.011,0.0033,0.0196
CP000387,2348,42264,179,252,320,751,0.0127,0.0179,0.0227,0.0533,2348,42264,211,210,311,732,0.015,0.0149,0.0221,0.052
CP000554,3136,56448,183,445,260,888,0.0097,0.0237,0.0138,0.0472,3136,56448,211,401,240,852,0.0112,0.0213,0.0128,0.0453
CP000411,1864,33552,120,165,365,650,0.0107,0.0148,0.0326,0.0581,1864,33552,97,144,368,609,0.0087,0.0129,0.0329,0.0545
CP001650,4713,84834,466,525,1193,2184,0.0165,0.0186,0.0422,0.0772,4713,84834,448,525,1220,2193,0.0158,0.0186,0.0431,0.0776
CP003801,1531,27558,121,188,411,720,0.0132,0.0205,0.0447,0.0784,1531,27558,112,152,411,675,0.0122,0.0165,0.0447,0.0735
CP002343,3710,66780,58,214,10,282,0.0026,0.0096,0.0004,0.0127,3710,66780,71,203,21,295,0.0032,0.0091,0.0009,0.0133
CP003944,3684,66312,247,451,640,1338,0.0112,0.0204,0.029,0.0605,3684,66312,276,406,654,1336,0.0125,0.0184,0.0296,0.0604
CP002085,3355,60390,70,194,87,351,0.0035,0.0096,0.0043,0.0174,3355,60390,58,193,102,353,0.0029,0.0096,0.0051,0.0175
CP000542,5070,91260,79,342,59,480,0.0026,0.0112,0.0019,0.0158,5070,91260,80,351,62,493,0.0026,0.0115,0.002,0.0162
CP010954,4440,79920,105,336,78,519,0.0039,0.0126,0.0029,0.0195,4440,79920,115,316,110,541,0.0043,0.0119,0.0041,0.0203
AP012547,3587,64566,98,314,91,503,0.0046,0.0146,0.0042,0.0234,3587,64566,75,362,89,526,0.0035,0.0168,0.0041,0.0244
CP003155,3283,59094,212,340,277,829,0.0108,0.0173,0.0141,0.0421,3283,59094,228,285,271,784,0.0116,0.0145,0.0138,0.0398
AP012052,3676,66168,44,155,18,217,0.002,0.007,0.0008,0.0098,3676,66168,72,185,34,291,0.0033,0.0084,0.0015,0.0132
CP007053,6045,108810,122,502,193,817,0.0034,0.0138,0.0053,0.0225,6045,108810,137,569,213,919,0.0038,0.0157,0.0059,0.0253
FP236843,4596,82728,166,536,470,1172,0.006,0.0194,0.017,0.0425,4596,82728,151,544,478,1173,0.0055,0.0197,0.0173,0.0425
CP002528,3049,54882,331,312,720,1363,0.0181,0.0171,0.0394,0.0745,3049,54882,357,303,779,1439,0.0195,0.0166,0.0426,0.0787
AP012029,3177,57186,69,300,208,577,0.0036,0.0157,0.0109,0.0303,3177,57186,76,356,233,665,0.004,0.0187,0.0122,0.0349
CP003591,3912,70416,244,344,191,779,0.0104,0.0147,0.0081,0.0332,3912,70416,280,361,193,834,0.0119,0.0154,0.0082,0.0355
CP007028,1691,30438,127,121,270,518,0.0125,0.0119,0.0266,0.0511,1691,30438,134,77,292,503,0.0132,0.0076,0.0288,0.0496
CP000352,3870,69660,93,308,88,489,0.004,0.0133,0.0038,0.0211,3870,69660,99,388,93,580,0.0043,0.0167,0.004,0.025
CP001810,2998,53964,227,312,584,1123,0.0126,0.0173,0.0325,0.0624,2998,53964,209,288,546,1043,0.0116,0.016,0.0304,0.058
CP010978,4857,87426,379,448,773,1600,0.013,0.0154,0.0265,0.0549,4857,87426,431,389,795,1615,0.0148,0.0133,0.0273,0.0554
CP002046,2744,49392,283,214,793,1290,0.0172,0.013,0.0482,0.0784,2744,49392,287,218,848,1353,0.0174,0.0132,0.0515,0.0822
CP001685,2370,42660,121,170,631,922,0.0085,0.012,0.0444,0.0648,2370,42660,141,188,557,886,0.0099,0.0132,0.0392,0.0623
AE014184,862,15516,44,66,105,215,0.0085,0.0128,0.0203,0.0416,862,15516,49,70,68,187,0.0095,0.0135,0.0131,0.0362
CP009962,5082,91476,247,545,378,1170,0.0081,0.0179,0.0124,0.0384,5082,91476,296,544,417,1257,0.0097,0.0178,0.0137,0.0412
CP006681,1103,19854,70,0,332,402,0.0106,0,0.0502,0.0607,1103,19854,56,0,321,377,0.0085,0,0.0485,0.057
CP002292,3748,67464,91,277,101,469,0.004,0.0123,0.0045,0.0209,3748,67464,100,291,123,514,0.0044,0.0129,0.0055,0.0229
CP011144,3242,58356,56,110,20,186,0.0029,0.0057,0.001,0.0096,3242,58356,75,106,29,210,0.0039,0.0054,0.0015,0.0108
CP003600,5950,107100,700,591,909,2200,0.0196,0.0166,0.0255,0.0616,5950,107100,780,647,916,2343,0.0218,0.0181,0.0257,0.0656
CP005384,2289,41202,198,269,438,905,0.0144,0.0196,0.0319,0.0659,2289,41202,195,242,481,918,0.0142,0.0176,0.035,0.0668
CP001778,6542,117756,200,384,105,689,0.0051,0.0098,0.0027,0.0176,6542,117756,215,412,146,773,0.0055,0.0105,0.0037,0.0197
CP003315,679,12222,25,40,245,310,0.0061,0.0098,0.0601,0.0761,679,12222,38,49,251,338,0.0093,0.012,0.0616,0.083
CP001851,2220,39960,63,205,109,377,0.0047,0.0154,0.0082,0.0283,2220,39960,65,217,131,413,0.0049,0.0163,0.0098,0.031
CP003495,3437,61866,58,183,32,273,0.0028,0.0089,0.0016,0.0132,3437,61866,57,224,39,320,0.0028,0.0109,0.0019,0.0155
AP012204,5359,96462,140,399,39,578,0.0044,0.0124,0.0012,0.018,5359,96462,207,418,50,675,0.0064,0.013,0.0016,0.021
CP002512,2024,36432,150,209,331,690,0.0124,0.0172,0.0273,0.0568,2024,36432,134,171,336,641,0.011,0.0141,0.0277,0.0528
CP003587,4562,82116,168,333,157,658,0.0061,0.0122,0.0057,0.024,4562,82116,224,384,209,817,0.0082,0.014,0.0076,0.0298
AP009389,2920,52560,97,211,339,647,0.0055,0.012,0.0193,0.0369,2920,52560,93,198,367,658,0.0053,0.0113,0.0209,0.0376
HE717023,4121,74178,239,416,608,1263,0.0097,0.0168,0.0246,0.0511,4121,74178,248,392,566,1206,0.01,0.0159,0.0229,0.0488
CP007481,910,16380,85,94,108,287,0.0156,0.0172,0.0198,0.0526,910,16380,96,88,127,311,0.0176,0.0161,0.0233,0.057
CP002683,2291,41238,183,173,336,692,0.0133,0.0126,0.0244,0.0503,2291,41238,162,135,361,658,0.0118,0.0098,0.0263,0.0479
CP002400,2875,51750,53,185,130,368,0.0031,0.0107,0.0075,0.0213,2875,51750,63,180,129,372,0.0037,0.0104,0.0075,0.0216
CP001739,4195,75510,220,389,1004,1613,0.0087,0.0155,0.0399,0.0641,4195,75510,201,391,903,1495,0.008,0.0155,0.0359,0.0594
AM902716,5035,90630,156,371,121,648,0.0052,0.0123,0.004,0.0214,5035,90630,142,401,165,708,0.0047,0.0133,0.0055,0.0234
CP000083,5054,90972,477,524,1269,2270,0.0157,0.0173,0.0418,0.0749,5054,90972,463,550,1312,2325,0.0153,0.0181,0.0433,0.0767
CP002544,3746,67428,236,382,700,1318,0.0105,0.017,0.0311,0.0586,3746,67428,212,400,773,1385,0.0094,0.0178,0.0344,0.0616
CP001738,5061,91098,74,206,34,314,0.0024,0.0068,0.0011,0.0103,5061,91098,88,256,62,406,0.0029,0.0084,0.002,0.0134
CP001807,2858,51444,67,201,66,334,0.0039,0.0117,0.0038,0.0195,2858,51444,61,185,76,322,0.0036,0.0108,0.0044,0.0188
CP002006,2860,51480,208,288,551,1047,0.0121,0.0168,0.0321,0.061,2860,51480,211,283,642,1136,0.0123,0.0165,0.0374,0.0662
CP001016,3740,67320,124,363,150,637,0.0055,0.0162,0.0067,0.0284,3740,67320,98,321,159,578,0.0044,0.0143,0.0071,0.0258
CP006696,2728,49104,150,320,196,666,0.0092,0.0196,0.012,0.0407,2728,49104,142,257,186,585,0.0087,0.0157,0.0114,0.0357
CP000884,6153,110754,116,439,72,627,0.0031,0.0119,0.002,0.017,6153,110754,136,548,105,789,0.0037,0.0148,0.0028,0.0214
AM889285,3864,69552,77,286,78,441,0.0033,0.0123,0.0034,0.019,3864,69552,56,269,85,410,0.0024,0.0116,0.0037,0.0177
CP000492,2799,50382,66,331,305,702,0.0039,0.0197,0.0182,0.0418,2799,50382,97,304,263,664,0.0058,0.0181,0.0157,0.0395
CP001779,1560,28080,104,139,405,648,0.0111,0.0149,0.0433,0.0692,1560,28080,108,112,364,584,0.0115,0.012,0.0389,0.0624
CP002786,4624,83232,196,422,108,726,0.0071,0.0152,0.0039,0.0262,4624,83232,204,379,114,697,0.0074,0.0137,0.0041,0.0251
CP003178,7444,133992,608,830,1460,2898,0.0136,0.0186,0.0327,0.0649,7444,133992,608,860,1597,3065,0.0136,0.0193,0.0358,0.0686
CP001145,1541,27738,130,133,191,454,0.0141,0.0144,0.0207,0.0491,1541,27738,119,129,184,432,0.0129,0.014,0.0199,0.0467
CP002339,4445,80010,412,424,785,1621,0.0154,0.0159,0.0294,0.0608,4445,80010,381,340,813,1534,0.0143,0.0127,0.0305,0.0575
CP002417,6090,109620,99,462,64,625,0.0027,0.0126,0.0018,0.0171,6090,109620,148,497,81,726,0.0041,0.0136,0.0022,0.0199
CP002047,10107,181926,139,659,92,890,0.0023,0.0109,0.0015,0.0147,10107,181926,191,689,106,986,0.0031,0.0114,0.0017,0.0163
CP001684,2854,51372,103,171,101,375,0.006,0.01,0.0059,0.0219,2854,51372,109,166,97,372,0.0064,0.0097,0.0057,0.0217
CP006842,3272,58896,121,271,51,443,0.0062,0.0138,0.0026,0.0226,3272,58896,150,304,63,517,0.0076,0.0155,0.0032,0.0263
AP014685,10060,181080,265,720,167,1152,0.0044,0.0119,0.0028,0.0191,10060,181080,314,913,210,1437,0.0052,0.0151,0.0035,0.0238
CP002102,3393,61074,77,238,49,364,0.0038,0.0117,0.0024,0.0179,3393,61074,93,222,65,380,0.0046,0.0109,0.0032,0.0187
CP003590,4665,83970,451,392,680,1523,0.0161,0.014,0.0243,0.0544,4665,83970,471,431,673,1575,0.0168,0.0154,0.024,0.0563
CP003969,10503,189054,189,401,74,664,0.003,0.0064,0.0012,0.0105,10503,189054,246,574,89,909,0.0039,0.0091,0.0014,0.0144
FO818637,4882,87876,287,588,804,1679,0.0098,0.0201,0.0274,0.0573,4882,87876,284,562,724,1570,0.0097,0.0192,0.0247,0.0536
CP003787,2237,40266,196,212,606,1014,0.0146,0.0158,0.0451,0.0755,2237,40266,214,208,683,1105,0.0159,0.0155,0.0509,0.0823
CP000282,4067,73206,401,255,700,1356,0.0164,0.0104,0.0287,0.0556,4067,73206,426,262,757,1445,0.0175,0.0107,0.031,0.0592
CP003154,4627,83286,100,423,106,629,0.0036,0.0152,0.0038,0.0227,4627,83286,131,451,137,719,0.0047,0.0162,0.0049,0.0259
AM942759,3685,66330,291,441,776,1508,0.0132,0.0199,0.0351,0.0682,3685,66330,294,357,828,1479,0.0133,0.0161,0.0374,0.0669
CP002084,1774,31932,82,171,175,428,0.0077,0.0161,0.0164,0.0402,1774,31932,63,163,138,364,0.0059,0.0153,0.013,0.0342
CP002987,3561,64098,187,393,718,1298,0.0088,0.0184,0.0336,0.0608,3561,64098,194,387,737,1318,0.0091,0.0181,0.0345,0.0617
HG322949,5573,100314,194,541,359,1094,0.0058,0.0162,0.0107,0.0327,5573,100314,225,604,407,1236,0.0067,0.0181,0.0122,0.037
CP000685,5137,92466,421,469,1375,2265,0.0137,0.0152,0.0446,0.0735,5137,92466,432,474,1458,2364,0.014,0.0154,0.0473,0.0767
CP001997,1972,35496,128,157,205,490,0.0108,0.0133,0.0173,0.0414,1972,35496,92,160,193,445,0.0078,0.0135,0.0163,0.0376
CP000390,4162,74916,137,343,117,597,0.0055,0.0137,0.0047,0.0239,4162,74916,162,284,136,582,0.0065,0.0114,0.0054,0.0233
CP002657,4815,86670,130,319,64,513,0.0045,0.011,0.0022,0.0178,4815,86670,148,383,95,626,0.0051,0.0133,0.0033,0.0217
CP003945,3920,70560,302,547,587,1436,0.0128,0.0233,0.025,0.0611,3920,70560,292,509,675,1476,0.0124,0.0216,0.0287,0.0628
CP003379,4399,79182,183,261,137,581,0.0069,0.0099,0.0052,0.022,4399,79182,195,322,165,682,0.0074,0.0122,0.0063,0.0258
CP002991,2794,50292,150,210,451,811,0.0089,0.0125,0.0269,0.0484,2794,50292,150,199,480,829,0.0089,0.0119,0.0286,0.0495
CP003729,9291,167238,169,511,76,756,0.003,0.0092,0.0014,0.0136,9291,167238,232,541,101,874,0.0042,0.0097,0.0018,0.0157
CP000555,3870,69660,53,247,35,335,0.0023,0.0106,0.0015,0.0144,3870,69660,62,308,21,391,0.0027,0.0133,0.0009,0.0168
CP002568,4383,78894,54,192,41,287,0.0021,0.0073,0.0016,0.0109,4383,78894,87,266,54,407,0.0033,0.0101,0.0021,0.0155
BA000022,3167,57006,229,305,514,1048,0.0121,0.0161,0.027,0.0552,3167,57006,283,309,515,1107,0.0149,0.0163,0.0271,0.0583
CP008889,2321,41778,26,163,8,197,0.0019,0.0117,0.0006,0.0141,2321,41778,55,205,21,281,0.0039,0.0147,0.0015,0.0202
AP012157,3810,68580,249,384,663,1296,0.0109,0.0168,0.029,0.0567,3810,68580,243,368,728,1339,0.0106,0.0161,0.0318,0.0586
CP000386,3281,59058,104,94,67,265,0.0053,0.0048,0.0034,0.0135,3281,59058,127,99,65,291,0.0065,0.005,0.0033,0.0148
FP929061,2771,49878,208,392,553,1153,0.0125,0.0236,0.0333,0.0693,2771,49878,189,353,492,1034,0.0114,0.0212,0.0296,0.0622
AP006840,3337,60066,69,155,27,251,0.0034,0.0077,0.0013,0.0125,3337,60066,80,210,52,342,0.004,0.0105,0.0026,0.0171
CP007044,4883,87894,225,538,499,1262,0.0077,0.0184,0.017,0.0431,4883,87894,234,494,566,1294,0.008,0.0169,0.0193,0.0442
CP000781,4847,87246,83,292,59,434,0.0029,0.01,0.002,0.0149,4847,87246,78,350,78,506,0.0027,0.012,0.0027,0.0174
AP009384,4717,84906,75,279,57,411,0.0026,0.0099,0.002,0.0145,4717,84906,74,336,68,478,0.0026,0.0119,0.0024,0.0169
CP006272,8648,155664,198,525,99,822,0.0038,0.0101,0.0019,0.0158,8648,155664,248,621,123,992,0.0048,0.012,0.0024,0.0191
CP008796,1532,27576,118,112,272,502,0.0128,0.0122,0.0296,0.0546,1532,27576,121,111,324,556,0.0132,0.0121,0.0352,0.0605
CP001108,2388,42984,88,309,191,588,0.0061,0.0216,0.0133,0.041,2388,42984,114,312,179,605,0.008,0.0218,0.0125,0.0422
CP001221,3469,62442,243,370,645,1258,0.0117,0.0178,0.031,0.0604,3469,62442,238,325,615,1178,0.0114,0.0156,0.0295,0.0566
CP001364,4308,77544,194,457,204,855,0.0075,0.0177,0.0079,0.0331,4308,77544,197,388,242,827,0.0076,0.015,0.0094,0.032
CP003359,2629,47322,259,214,677,1150,0.0164,0.0136,0.0429,0.0729,2629,47322,241,196,645,1082,0.0153,0.0124,0.0409,0.0686
CP001734,2559,46062,74,158,65,297,0.0048,0.0103,0.0042,0.0193,2559,46062,65,176,80,321,0.0042,0.0115,0.0052,0.0209
CP002548,1157,20826,71,110,339,520,0.0102,0.0158,0.0488,0.0749,1157,20826,46,119,350,515,0.0066,0.0171,0.0504,0.0742
CP003532,2734,49212,190,320,255,765,0.0116,0.0195,0.0155,0.0466,2734,49212,152,308,214,674,0.0093,0.0188,0.013,0.0411
CP000934,3816,68688,188,357,393,938,0.0082,0.0156,0.0172,0.041,3816,68688,174,360,364,898,0.0076,0.0157,0.0159,0.0392
CP000758,2803,50454,101,257,174,532,0.006,0.0153,0.0103,0.0316,2803,50454,107,264,168,539,0.0064,0.0157,0.01,0.032
CP009129,3171,57078,205,284,478,967,0.0108,0.0149,0.0251,0.0508,3171,57078,239,268,454,961,0.0126,0.0141,0.0239,0.0505
CP000471,3815,68670,186,313,238,737,0.0081,0.0137,0.0104,0.0322,3815,68670,197,299,283,779,0.0086,0.0131,0.0124,0.034
CP000922,2956,53208,136,312,280,728,0.0077,0.0176,0.0158,0.041,2956,53208,106,275,282,663,0.006,0.0155,0.0159,0.0374
CP001630,7179,129222,113,333,43,489,0.0026,0.0077,0.001,0.0114,7179,129222,191,434,68,693,0.0044,0.0101,0.0016,0.0161
CP002159,3009,54162,171,357,268,796,0.0095,0.0198,0.0148,0.0441,3009,54162,182,381,341,904,0.0101,0.0211,0.0189,0.0501
CP001958,3128,56304,80,152,27,259,0.0043,0.0081,0.0014,0.0138,3128,56304,112,190,42,344,0.006,0.0101,0.0022,0.0183
FO203355,5260,94680,258,572,576,1406,0.0082,0.0181,0.0183,0.0446,5260,94680,222,535,540,1297,0.007,0.017,0.0171,0.0411
CP000975,2524,45432,170,239,329,738,0.0112,0.0158,0.0217,0.0487,2524,45432,136,248,318,702,0.009,0.0164,0.021,0.0464
CP009257,4258,76644,359,374,827,1560,0.0141,0.0146,0.0324,0.0611,4258,76644,213,408,812,1433,0.0083,0.016,0.0318,0.0561
CP000830,3634,65412,68,210,48,326,0.0031,0.0096,0.0022,0.015,3634,65412,58,257,47,362,0.0027,0.0118,0.0022,0.0166
CP001722,1883,33894,87,152,225,464,0.0077,0.0135,0.0199,0.0411,1883,33894,104,154,250,508,0.0092,0.0136,0.0221,0.045
CP000774,3706,66708,82,250,110,442,0.0037,0.0112,0.0049,0.0199,3706,66708,77,274,100,451,0.0035,0.0123,0.0045,0.0203
CP004388,4227,76086,106,440,237,783,0.0042,0.0173,0.0093,0.0309,4227,76086,107,431,234,772,0.0042,0.017,0.0092,0.0304
CP006566,5125,92250,225,517,472,1214,0.0073,0.0168,0.0153,0.0395,5125,92250,224,488,527,1239,0.0073,0.0159,0.0171,0.0403
CP002876,3605,64890,230,424,526,1180,0.0106,0.0196,0.0243,0.0546,3605,64890,236,418,520,1174,0.0109,0.0193,0.024,0.0543
CP002899,1406,25308,94,118,356,568,0.0111,0.014,0.0422,0.0673,1406,25308,85,118,392,595,0.0101,0.014,0.0465,0.0705
CP011132,5220,93960,173,608,516,1297,0.0055,0.0194,0.0165,0.0414,5220,93960,181,547,496,1224,0.0058,0.0175,0.0158,0.0391
CP001098,2436,43848,121,212,534,867,0.0083,0.0145,0.0365,0.0593,2436,43848,129,194,570,893,0.0088,0.0133,0.039,0.0611
CP003949,8052,144936,160,547,70,777,0.0033,0.0113,0.0014,0.0161,8052,144936,211,578,136,925,0.0044,0.012,0.0028,0.0191
CP003119,5020,90360,81,353,43,477,0.0027,0.0117,0.0014,0.0158,5020,90360,128,365,65,558,0.0042,0.0121,0.0022,0.0185
CP003549,6911,124398,702,678,1547,2927,0.0169,0.0164,0.0373,0.0706,6911,124398,793,734,1646,3173,0.0191,0.0177,0.0397,0.0765
CP001962,2506,45108,140,87,68,295,0.0093,0.0058,0.0045,0.0196,2506,45108,172,115,121,408,0.0114,0.0076,0.008,0.0271
CP000109,2259,40662,126,243,365,734,0.0093,0.0179,0.0269,0.0542,2259,40662,145,224,410,779,0.0107,0.0165,0.0302,0.0575
AP012337,4119,74142,121,427,158,706,0.0049,0.0173,0.0064,0.0286,4119,74142,140,495,167,802,0.0057,0.02,0.0068,0.0325
CP009056,2342,42156,168,249,688,1105,0.012,0.0177,0.049,0.0786,2342,42156,146,255,637,1038,0.0104,0.0181,0.0453,0.0739
CP002026,4563,82134,83,296,56,435,0.003,0.0108,0.002,0.0159,4563,82134,103,321,85,509,0.0038,0.0117,0.0031,0.0186
CP000769,4562,82116,84,191,31,306,0.0031,0.007,0.0011,0.0112,4562,82116,82,189,53,324,0.003,0.0069,0.0019,0.0118
CP002304,2464,44352,150,190,641,981,0.0101,0.0129,0.0434,0.0664,2464,44352,169,186,703,1058,0.0114,0.0126,0.0476,0.0716
CP003283,2371,42678,142,209,652,1003,0.01,0.0147,0.0458,0.0705,2371,42678,178,222,670,1070,0.0125,0.0156,0.0471,0.0752
CP000155,6863,123534,323,591,647,1561,0.0078,0.0144,0.0157,0.0379,6863,123534,347,678,615,1640,0.0084,0.0165,0.0149,0.0398
CP003796,1087,19566,93,73,163,329,0.0143,0.0112,0.025,0.0504,1087,19566,110,80,194,384,0.0169,0.0123,0.0297,0.0589
CP002353,3791,68238,58,332,64,454,0.0025,0.0146,0.0028,0.02,3791,68238,62,371,75,508,0.0027,0.0163,0.0033,0.0223
AM494475,2179,39222,203,269,688,1160,0.0155,0.0206,0.0526,0.0887,2179,39222,219,209,665,1093,0.0168,0.016,0.0509,0.0836
CP007444,4765,85770,145,342,83,570,0.0051,0.012,0.0029,0.0199,4765,85770,120,387,101,608,0.0042,0.0135,0.0035,0.0213
CP001713,1146,20628,97,92,168,357,0.0141,0.0134,0.0244,0.0519,1146,20628,119,94,195,408,0.0173,0.0137,0.0284,0.0593
CP002345,3118,56124,251,348,689,1288,0.0134,0.0186,0.0368,0.0688,3118,56124,298,391,711,1400,0.0159,0.0209,0.038,0.0748
HG934468,3060,55080,294,374,531,1199,0.016,0.0204,0.0289,0.0653,3060,55080,269,345,532,1146,0.0147,0.0188,0.029,0.0624
CP009159,2341,42138,150,238,471,859,0.0107,0.0169,0.0335,0.0612,2341,42138,163,207,504,874,0.0116,0.0147,0.0359,0.0622
CP000544,2493,44874,49,131,29,209,0.0033,0.0088,0.0019,0.014,2493,44874,80,121,39,240,0.0053,0.0081,0.0026,0.016
CP003153,3538,63684,104,217,89,410,0.0049,0.0102,0.0042,0.0193,3538,63684,120,259,109,488,0.0057,0.0122,0.0051,0.023
CP000285,3405,61290,69,284,74,427,0.0034,0.0139,0.0036,0.0209,3405,61290,101,303,78,482,0.0049,0.0148,0.0038,0.0236
CP003915,4112,74016,172,454,338,964,0.007,0.0184,0.0137,0.0391,4112,74016,163,480,346,989,0.0066,0.0195,0.014,0.0401
CP001928,1977,35586,128,224,291,643,0.0108,0.0189,0.0245,0.0542,1977,35586,112,219,306,637,0.0094,0.0185,0.0258,0.0537
CP006644,5924,106632,131,350,103,584,0.0037,0.0098,0.0029,0.0164,5924,106632,162,432,87,681,0.0046,0.0122,0.0024,0.0192
CP000513,1351,24318,44,124,211,379,0.0054,0.0153,0.026,0.0468,1351,24318,49,155,250,454,0.006,0.0191,0.0308,0.056
AM180252,1179,21222,137,89,314,540,0.0194,0.0126,0.0444,0.0763,1179,21222,143,75,330,548,0.0202,0.0106,0.0466,0.0775
AP008971,1631,29358,99,197,378,674,0.0101,0.0201,0.0386,0.0689,1631,29358,117,137,394,648,0.012,0.014,0.0403,0.0662
CP003597,5665,101970,578,570,707,1855,0.017,0.0168,0.0208,0.0546,5665,101970,660,606,768,2034,0.0194,0.0178,0.0226,0.0598
CP009460,4274,76932,152,487,362,1001,0.0059,0.019,0.0141,0.039,4274,76932,147,445,359,951,0.0057,0.0174,0.014,0.0371
CP002105,2438,43884,242,210,544,996,0.0165,0.0144,0.0372,0.0681,2438,43884,214,204,585,1003,0.0146,0.0139,0.04,0.0686
CP001683,3964,71352,84,251,41,376,0.0035,0.0106,0.0017,0.0158,3964,71352,99,248,57,404,0.0042,0.0104,0.0024,0.017
AP010946,2893,52074,44,175,42,261,0.0025,0.0101,0.0024,0.015,2893,52074,53,238,38,329,0.0031,0.0137,0.0022,0.019
CP009122,4687,84366,129,334,111,574,0.0046,0.0119,0.0039,0.0204,4687,84366,155,289,135,579,0.0055,0.0103,0.0048,0.0206
AE000657,1573,28314,130,108,320,558,0.0138,0.0114,0.0339,0.0591,1573,28314,87,118,307,512,0.0092,0.0125,0.0325,0.0542
CP002017,3402,61236,45,246,65,356,0.0022,0.0121,0.0032,0.0174,3402,61236,64,257,78,399,0.0031,0.0126,0.0038,0.0195
CP003313,2354,42372,125,251,404,780,0.0089,0.0178,0.0286,0.0552,2354,42372,129,273,437,839,0.0091,0.0193,0.0309,0.0594
CP001154,3336,60048,79,266,105,450,0.0039,0.0133,0.0052,0.0225,3336,60048,72,327,107,506,0.0036,0.0163,0.0053,0.0253
CP003493,3433,61794,51,255,13,319,0.0025,0.0124,0.0006,0.0155,3433,61794,104,335,35,474,0.005,0.0163,0.0017,0.023
CP002902,3297,59346,79,235,48,362,0.004,0.0119,0.0024,0.0183,3297,59346,65,254,69,388,0.0033,0.0128,0.0035,0.0196
CP002514,2273,40914,49,195,53,297,0.0036,0.0143,0.0039,0.0218,2273,40914,54,200,49,303,0.004,0.0147,0.0036,0.0222
AP011615,6627,119286,653,788,1052,2493,0.0164,0.0198,0.0265,0.0627,6627,119286,614,819,1152,2585,0.0154,0.0206,0.029,0.065
CP002390,1709,30762,77,123,219,419,0.0075,0.012,0.0214,0.0409,1709,30762,56,141,266,463,0.0055,0.0138,0.0259,0.0452
CP002056,2859,51462,243,341,644,1228,0.0142,0.0199,0.0375,0.0716,2859,51462,289,333,713,1335,0.0168,0.0194,0.0416,0.0778
FO203431,5562,100116,68,217,7,292,0.002,0.0065,0.0002,0.0087,5562,100116,128,258,18,404,0.0038,0.0077,0.0005,0.0121
CP002955,5150,92700,470,546,1224,2240,0.0152,0.0177,0.0396,0.0725,5150,92700,401,580,1242,2223,0.013,0.0188,0.0402,0.0719
CP002810,3080,55440,30,121,8,159,0.0016,0.0065,0.0004,0.0086,3080,55440,112,145,10,267,0.0061,0.0078,0.0005,0.0144
AM711867,3008,54144,34,125,11,170,0.0019,0.0069,0.0006,0.0094,3008,54144,64,145,16,225,0.0035,0.008,0.0009,0.0125
CP002543,1594,28692,164,158,274,596,0.0171,0.0165,0.0286,0.0623,1594,28692,129,121,289,539,0.0135,0.0127,0.0302,0.0564
CP000509,4755,85590,79,270,21,370,0.0028,0.0095,0.0007,0.013,4755,85590,150,286,30,466,0.0053,0.01,0.0011,0.0163
