accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_OOF,tot_seq_OOF,num_of_tag_OOF,num_of_tga_OOF,num_of_taa_OOF,total_number_of_ASC_OOF,frequency_tag_OOF,frequency_tga_OOF,frequency_taa_OOF,frequency_ASC_OOF
FO203503,4375,78750,159,516,759,1434,0.0061,0.0197,0.0289,0.0546,4375,78750,150,456,714,1320,0.0057,0.0174,0.0272,0.0503
CP003260,2063,37134,120,193,280,593,0.0097,0.0156,0.0226,0.0479,2063,37134,99,163,267,529,0.008,0.0132,0.0216,0.0427
CP003630,6391,115038,536,721,818,2075,0.014,0.0188,0.0213,0.0541,6391,115038,544,743,784,2071,0.0142,0.0194,0.0204,0.054
CP001820,1923,34614,175,200,348,723,0.0152,0.0173,0.0302,0.0627,1923,34614,205,189,373,767,0.0178,0.0164,0.0323,0.0665
AP014821,3733,67194,329,444,1179,1952,0.0147,0.0198,0.0526,0.0872,3733,67194,402,468,1173,2043,0.0179,0.0209,0.0524,0.0912
CP001965,3050,54900,108,321,148,577,0.0059,0.0175,0.0081,0.0315,3050,54900,136,334,194,664,0.0074,0.0183,0.0106,0.0363
CP003364,7566,136188,145,643,192,980,0.0032,0.0142,0.0042,0.0216,7566,136188,172,687,195,1054,0.0038,0.0151,0.0043,0.0232
CP003558,3762,67716,301,419,430,1150,0.0133,0.0186,0.0191,0.0509,3762,67716,300,378,472,1150,0.0133,0.0167,0.0209,0.0509
CP003108,5627,101286,385,484,844,1713,0.0114,0.0143,0.025,0.0507,5627,101286,313,480,879,1672,0.0093,0.0142,0.026,0.0495
CP002349,3849,69282,329,453,953,1735,0.0142,0.0196,0.0413,0.0751,3849,69282,391,463,1017,1871,0.0169,0.02,0.044,0.081
CP000724,4941,88938,407,546,881,1834,0.0137,0.0184,0.0297,0.0619,4941,88938,381,468,820,1669,0.0129,0.0158,0.0277,0.0563
HF680312,3732,67176,307,392,557,1256,0.0137,0.0175,0.0249,0.0561,3732,67176,311,371,471,1153,0.0139,0.0166,0.021,0.0515
CP009440,2090,37620,241,211,573,1025,0.0192,0.0168,0.0457,0.0817,2090,37620,231,158,564,953,0.0184,0.0126,0.045,0.076
CP001230,2023,36414,132,202,382,716,0.0109,0.0166,0.0315,0.059,2023,36414,114,204,376,694,0.0094,0.0168,0.031,0.0572
AP011121,2628,47304,126,177,187,490,0.008,0.0112,0.0119,0.0311,2628,47304,93,177,183,453,0.0059,0.0112,0.0116,0.0287
CP001322,5361,96498,182,467,472,1121,0.0057,0.0145,0.0147,0.0349,5361,96498,202,433,504,1139,0.0063,0.0135,0.0157,0.0354
FP929050,3629,65322,228,504,523,1255,0.0105,0.0231,0.024,0.0576,3629,65322,219,414,492,1125,0.0101,0.019,0.0226,0.0517
CP006664,4224,76032,191,371,326,888,0.0075,0.0146,0.0129,0.035,4224,76032,198,404,354,956,0.0078,0.0159,0.014,0.0377
CP003466,4470,80460,136,429,172,737,0.0051,0.016,0.0064,0.0275,4470,80460,127,433,158,718,0.0047,0.0161,0.0059,0.0268
CP003870,3040,54720,130,246,363,739,0.0071,0.0135,0.0199,0.0405,3040,54720,123,263,393,779,0.0067,0.0144,0.0215,0.0427
HG938353,4538,81684,123,393,132,648,0.0045,0.0144,0.0048,0.0238,4538,81684,154,384,149,687,0.0057,0.0141,0.0055,0.0252
CP003470,3958,71244,62,254,54,370,0.0026,0.0107,0.0023,0.0156,3958,71244,89,257,45,391,0.0037,0.0108,0.0019,0.0165
CP000749,4598,82764,345,438,765,1548,0.0125,0.0159,0.0277,0.0561,4598,82764,347,431,858,1636,0.0126,0.0156,0.0311,0.0593
CP000319,4100,73800,110,292,113,515,0.0045,0.0119,0.0046,0.0209,4100,73800,132,338,110,580,0.0054,0.0137,0.0045,0.0236
CP002959,4185,75330,177,385,282,844,0.007,0.0153,0.0112,0.0336,4185,75330,185,366,256,807,0.0074,0.0146,0.0102,0.0321
CP000088,3184,57312,77,175,41,293,0.004,0.0092,0.0021,0.0153,3184,57312,78,167,36,281,0.0041,0.0087,0.0019,0.0147
CP001699,7400,133200,609,785,1453,2847,0.0137,0.0177,0.0327,0.0641,7400,133200,611,856,1451,2918,0.0138,0.0193,0.0327,0.0657
CP007034,2614,47052,139,233,334,706,0.0089,0.0149,0.0213,0.045,2614,47052,157,262,362,781,0.01,0.0167,0.0231,0.0498
CP002666,3864,69552,33,132,8,173,0.0014,0.0057,0.0003,0.0075,3864,69552,68,153,12,233,0.0029,0.0066,0.0005,0.0101
AP012035,3449,62082,61,226,45,332,0.0029,0.0109,0.0022,0.016,3449,62082,63,247,54,364,0.003,0.0119,0.0026,0.0176
CP009495,6791,122238,164,504,78,746,0.004,0.0124,0.0019,0.0183,6791,122238,207,507,117,831,0.0051,0.0124,0.0029,0.0204
CP007035,4184,75312,269,426,829,1524,0.0107,0.017,0.033,0.0607,4184,75312,306,445,899,1650,0.0122,0.0177,0.0358,0.0657
CP002667,2581,46458,153,259,534,946,0.0099,0.0167,0.0345,0.0611,2581,46458,144,242,551,937,0.0093,0.0156,0.0356,0.0605
CP003563,6222,111996,175,449,141,765,0.0047,0.012,0.0038,0.0205,6222,111996,193,463,153,809,0.0052,0.0124,0.0041,0.0217
AM236080,4733,85194,100,425,156,681,0.0035,0.015,0.0055,0.024,4733,85194,125,448,174,747,0.0044,0.0158,0.0061,0.0263
CP004025,8128,146304,141,425,40,606,0.0029,0.0087,0.0008,0.0124,8128,146304,163,570,57,790,0.0033,0.0117,0.0012,0.0162
CP000089,4283,77094,145,418,159,722,0.0056,0.0163,0.0062,0.0281,4283,77094,176,405,187,768,0.0068,0.0158,0.0073,0.0299
CP010820,4768,85824,352,443,693,1488,0.0123,0.0155,0.0242,0.052,4768,85824,334,393,710,1437,0.0117,0.0137,0.0248,0.0502
CP009302,1475,26550,39,86,37,162,0.0044,0.0097,0.0042,0.0183,1475,26550,43,88,39,170,0.0049,0.0099,0.0044,0.0192
CP000820,7377,132786,126,393,62,581,0.0028,0.0089,0.0014,0.0131,7377,132786,149,448,58,655,0.0034,0.0101,0.0013,0.0148
CP002630,2310,41580,114,90,60,264,0.0082,0.0065,0.0043,0.019,2310,41580,131,119,110,360,0.0095,0.0086,0.0079,0.026
CP007062,2478,44604,179,155,675,1009,0.012,0.0104,0.0454,0.0679,2478,44604,150,171,618,939,0.0101,0.0115,0.0416,0.0632
CP000031,3923,70614,83,285,68,436,0.0035,0.0121,0.0029,0.0185,3923,70614,85,254,58,397,0.0036,0.0108,0.0025,0.0169
FP929047,2025,36450,46,85,41,172,0.0038,0.007,0.0034,0.0142,2025,36450,79,108,49,236,0.0065,0.0089,0.004,0.0194
CP003488,4194,75492,327,521,771,1619,0.013,0.0207,0.0306,0.0643,4194,75492,271,438,761,1470,0.0108,0.0174,0.0302,0.0584
CP004121,5831,104958,435,499,1685,2619,0.0124,0.0143,0.0482,0.0749,5831,104958,447,492,1706,2645,0.0128,0.0141,0.0488,0.0756
AP009510,761,13698,46,71,162,279,0.0101,0.0155,0.0355,0.0611,761,13698,38,71,143,252,0.0083,0.0155,0.0313,0.0552
CP002364,3408,61344,72,258,121,451,0.0035,0.0126,0.0059,0.0221,3408,61344,83,276,102,461,0.0041,0.0135,0.005,0.0225
FR872582,2380,42840,166,264,359,789,0.0116,0.0185,0.0251,0.0553,2380,42840,172,279,336,787,0.012,0.0195,0.0235,0.0551
BA000012,6752,121536,189,504,125,818,0.0047,0.0124,0.0031,0.0202,6752,121536,222,564,150,936,0.0055,0.0139,0.0037,0.0231
CP003349,4490,80820,457,509,1224,2190,0.017,0.0189,0.0454,0.0813,4490,80820,482,512,1188,2182,0.0179,0.019,0.0441,0.081
CU207211,3352,60336,154,386,265,805,0.0077,0.0192,0.0132,0.04,3352,60336,142,392,259,793,0.0071,0.0195,0.0129,0.0394
CP009416,3803,68454,187,446,454,1087,0.0082,0.0195,0.0199,0.0476,3803,68454,158,448,473,1079,0.0069,0.0196,0.0207,0.0473
CP000267,4304,77472,143,448,188,779,0.0055,0.0173,0.0073,0.0302,4304,77472,175,510,218,903,0.0068,0.0197,0.0084,0.035
HG315671,3518,63324,342,307,1127,1776,0.0162,0.0145,0.0534,0.0841,3518,63324,319,308,1215,1842,0.0151,0.0146,0.0576,0.0873
AE016825,4529,81522,147,323,139,609,0.0054,0.0119,0.0051,0.0224,4529,81522,128,442,149,719,0.0047,0.0163,0.0055,0.0265
AP014565,4947,89046,229,559,558,1346,0.0077,0.0188,0.0188,0.0453,4947,89046,231,484,608,1323,0.0078,0.0163,0.0205,0.0446
CP001071,2240,40320,71,208,155,434,0.0053,0.0155,0.0115,0.0323,2240,40320,88,215,168,471,0.0065,0.016,0.0125,0.035
CP001708,1803,32454,180,188,407,775,0.0166,0.0174,0.0376,0.0716,1803,32454,154,119,393,666,0.0142,0.011,0.0363,0.0616
CP001821,3443,61974,46,164,8,218,0.0022,0.0079,0.0004,0.0106,3443,61974,67,222,13,302,0.0032,0.0107,0.0006,0.0146
CP000733,2303,41454,148,189,334,671,0.0107,0.0137,0.0242,0.0486,2303,41454,134,197,328,659,0.0097,0.0143,0.0237,0.0477
CP002831,4267,76806,458,319,571,1348,0.0179,0.0125,0.0223,0.0527,4267,76806,530,380,592,1502,0.0207,0.0148,0.0231,0.0587
AP012331,2572,46296,63,191,54,308,0.0041,0.0124,0.0035,0.02,2572,46296,92,212,74,378,0.006,0.0137,0.0048,0.0245
FO082060,4083,73494,289,463,562,1314,0.0118,0.0189,0.0229,0.0536,4083,73494,298,466,597,1361,0.0122,0.019,0.0244,0.0556
BA000028,3496,62928,285,330,611,1226,0.0136,0.0157,0.0291,0.0584,3496,62928,278,336,670,1284,0.0133,0.016,0.0319,0.0612
CP003236,3611,64998,35,239,32,306,0.0016,0.011,0.0015,0.0141,3611,64998,35,254,33,322,0.0016,0.0117,0.0015,0.0149
CP000158,3568,64224,100,299,115,514,0.0047,0.014,0.0054,0.024,3568,64224,102,292,110,504,0.0048,0.0136,0.0051,0.0235
CP003646,4929,88722,496,529,738,1763,0.0168,0.0179,0.025,0.0596,4929,88722,524,534,849,1907,0.0177,0.0181,0.0287,0.0645
CP002542,4131,74358,378,512,837,1727,0.0153,0.0207,0.0338,0.0697,4131,74358,335,529,858,1722,0.0135,0.0213,0.0346,0.0695
CP011047,4485,80730,141,436,438,1015,0.0052,0.0162,0.0163,0.0377,4485,80730,140,463,394,997,0.0052,0.0172,0.0146,0.037
CP001801,2465,44370,98,285,174,557,0.0066,0.0193,0.0118,0.0377,2465,44370,100,266,171,537,0.0068,0.018,0.0116,0.0363
AP014800,4354,78372,62,247,41,350,0.0024,0.0095,0.0016,0.0134,4354,78372,81,281,46,408,0.0031,0.0108,0.0018,0.0156
FP476056,4738,85284,477,431,881,1789,0.0168,0.0152,0.031,0.0629,4738,85284,492,432,931,1855,0.0173,0.0152,0.0327,0.0653
CP007202,2860,51480,225,238,873,1336,0.0131,0.0139,0.0509,0.0779,2860,51480,245,254,952,1451,0.0143,0.0148,0.0555,0.0846
CP000482,3685,66330,130,350,153,633,0.0059,0.0158,0.0069,0.0286,3685,66330,118,346,169,633,0.0053,0.0156,0.0076,0.0286
CP001769,6701,120618,685,812,1021,2518,0.017,0.0202,0.0254,0.0626,6701,120618,716,758,1020,2494,0.0178,0.0189,0.0254,0.062
AM420293,7198,129564,92,285,52,429,0.0021,0.0066,0.0012,0.0099,7198,129564,119,364,57,540,0.0028,0.0084,0.0013,0.0125
CP005383,2858,51444,203,316,511,1030,0.0118,0.0184,0.0298,0.0601,2858,51444,207,267,610,1084,0.0121,0.0156,0.0356,0.0632
CP003607,6001,108018,427,632,678,1737,0.0119,0.0176,0.0188,0.0482,6001,108018,481,698,776,1955,0.0134,0.0194,0.0216,0.0543
CP003257,2117,38106,124,225,552,901,0.0098,0.0177,0.0435,0.0709,2117,38106,95,204,490,789,0.0075,0.0161,0.0386,0.0621
CP003742,4862,87516,206,367,239,812,0.0071,0.0126,0.0082,0.0278,4862,87516,185,451,249,885,0.0063,0.0155,0.0085,0.0303
CP003191,3207,57726,149,334,413,896,0.0077,0.0174,0.0215,0.0466,3207,57726,145,371,458,974,0.0075,0.0193,0.0238,0.0506
CP001397,3666,65988,365,427,929,1721,0.0166,0.0194,0.0422,0.0782,3666,65988,362,417,996,1775,0.0165,0.019,0.0453,0.0807
AM260479,3650,65700,72,238,61,371,0.0033,0.0109,0.0028,0.0169,3650,65700,107,294,87,488,0.0049,0.0134,0.004,0.0223
CP001682,1422,25596,78,125,95,298,0.0091,0.0147,0.0111,0.0349,1422,25596,71,109,88,268,0.0083,0.0128,0.0103,0.0314
CP003345,4089,73602,434,457,1110,2001,0.0177,0.0186,0.0452,0.0816,4089,73602,467,456,1171,2094,0.019,0.0186,0.0477,0.0854
CR522870,3118,56124,242,304,408,954,0.0129,0.0162,0.0218,0.051,3118,56124,195,283,431,909,0.0104,0.0151,0.023,0.0486
CP002738,4673,84114,258,442,606,1306,0.0092,0.0158,0.0216,0.0466,4673,84114,274,432,552,1258,0.0098,0.0154,0.0197,0.0449
CP001616,3292,59256,144,391,401,936,0.0073,0.0198,0.0203,0.0474,3292,59256,128,390,388,906,0.0065,0.0197,0.0196,0.0459
CP000284,2814,50652,151,356,184,691,0.0089,0.0211,0.0109,0.0409,2814,50652,132,316,222,670,0.0078,0.0187,0.0131,0.0397
CP002606,1780,32040,138,143,314,595,0.0129,0.0134,0.0294,0.0557,1780,32040,144,130,321,595,0.0135,0.0122,0.0301,0.0557
CP008876,3253,58554,226,288,409,923,0.0116,0.0148,0.021,0.0473,3253,58554,218,279,423,920,0.0112,0.0143,0.0217,0.0471
CP009621,4643,83574,462,361,768,1591,0.0166,0.013,0.0276,0.0571,4643,83574,481,399,781,1661,0.0173,0.0143,0.028,0.0596
AP014569,2389,43002,87,172,80,339,0.0061,0.012,0.0056,0.0237,2389,43002,107,190,82,379,0.0075,0.0133,0.0057,0.0264
CP002344,2435,43830,21,72,9,102,0.0014,0.0049,0.0006,0.007,2435,43830,23,93,18,134,0.0016,0.0064,0.0012,0.0092
CP003943,6250,112500,572,722,909,2203,0.0153,0.0193,0.0242,0.0587,6250,112500,581,700,905,2186,0.0155,0.0187,0.0241,0.0583
CP000103,2828,50904,112,317,168,597,0.0066,0.0187,0.0099,0.0352,2828,50904,121,319,195,635,0.0071,0.0188,0.0115,0.0374
CP001712,3259,58662,186,250,312,748,0.0095,0.0128,0.016,0.0383,3259,58662,186,289,355,830,0.0095,0.0148,0.0182,0.0424
CP003390,3096,55728,203,381,508,1092,0.0109,0.0205,0.0273,0.0588,3096,55728,164,331,433,928,0.0088,0.0178,0.0233,0.05
CP007445,2869,51642,219,295,820,1334,0.0127,0.0171,0.0476,0.0775,2869,51642,209,254,839,1302,0.0121,0.0148,0.0487,0.0756
CP001968,3073,55314,182,373,530,1085,0.0099,0.0202,0.0287,0.0588,3073,55314,166,285,511,962,0.009,0.0155,0.0277,0.0522
CP003778,4746,85428,86,309,73,468,0.003,0.0109,0.0026,0.0164,4746,85428,125,386,83,594,0.0044,0.0136,0.0029,0.0209
CP002305,3666,65988,367,348,681,1396,0.0167,0.0158,0.031,0.0635,3666,65988,340,346,699,1385,0.0155,0.0157,0.0318,0.063
CP001196,3782,68076,91,311,114,516,0.004,0.0137,0.005,0.0227,3782,68076,97,319,115,531,0.0043,0.0141,0.0051,0.0234
CP002916,1577,28386,60,143,92,295,0.0063,0.0151,0.0097,0.0312,1577,28386,52,143,94,289,0.0055,0.0151,0.0099,0.0305
AE009439,1729,31122,59,129,47,235,0.0057,0.0124,0.0045,0.0227,1729,31122,73,116,64,253,0.007,0.0112,0.0062,0.0244
CP003167,2924,52632,63,255,161,479,0.0036,0.0145,0.0092,0.0273,2924,52632,93,257,168,518,0.0053,0.0146,0.0096,0.0295
CP006670,2575,46350,140,239,349,728,0.0091,0.0155,0.0226,0.0471,2575,46350,147,223,306,676,0.0095,0.0144,0.0198,0.0438
CP002737,1843,33174,100,137,374,611,0.009,0.0124,0.0338,0.0553,1843,33174,109,163,474,746,0.0099,0.0147,0.0429,0.0675
BA000011,1526,27468,119,154,304,577,0.013,0.0168,0.0332,0.063,1526,27468,128,153,273,554,0.014,0.0167,0.0298,0.0605
CP002062,3083,55494,145,157,70,372,0.0078,0.0085,0.0038,0.0201,3083,55494,143,146,53,342,0.0077,0.0079,0.0029,0.0185
AE017261,1535,27630,73,158,493,724,0.0079,0.0172,0.0535,0.0786,1535,27630,54,132,465,651,0.0059,0.0143,0.0505,0.0707
CP007060,3052,54936,117,132,27,276,0.0064,0.0072,0.0015,0.0151,3052,54936,118,135,39,292,0.0064,0.0074,0.0021,0.0159
CP009479,2004,36072,107,203,209,519,0.0089,0.0169,0.0174,0.0432,2004,36072,93,219,228,540,0.0077,0.0182,0.019,0.0449
CP000300,2500,45000,172,280,360,812,0.0115,0.0187,0.024,0.0541,2500,45000,130,275,336,741,0.0087,0.0183,0.0224,0.0494
CP002278,1352,24336,101,145,283,529,0.0125,0.0179,0.0349,0.0652,1352,24336,72,110,257,439,0.0089,0.0136,0.0317,0.0541
CP003423,1439,25902,89,132,269,490,0.0103,0.0153,0.0312,0.0568,1439,25902,98,129,303,530,0.0114,0.0149,0.0351,0.0614
CP003531,1466,26388,132,115,123,370,0.015,0.0131,0.014,0.0421,1466,26388,134,78,139,351,0.0152,0.0089,0.0158,0.0399
CP003321,1522,27396,123,139,225,487,0.0135,0.0152,0.0246,0.0533,1522,27396,129,108,230,467,0.0141,0.0118,0.0252,0.0511
CP002117,2881,51858,102,320,403,825,0.0059,0.0185,0.0233,0.0477,2881,51858,104,298,392,794,0.006,0.0172,0.0227,0.0459
CP001941,1587,28566,97,137,260,494,0.0102,0.0144,0.0273,0.0519,1587,28566,96,150,230,476,0.0101,0.0158,0.0242,0.05
CP000254,3304,59472,162,443,333,938,0.0082,0.0223,0.0168,0.0473,3304,59472,118,365,316,799,0.006,0.0184,0.0159,0.0403
CP002551,2584,46512,142,236,634,1012,0.0092,0.0152,0.0409,0.0653,2584,46512,138,229,651,1018,0.0089,0.0148,0.042,0.0657
CP002101,2086,37548,128,266,336,730,0.0102,0.0213,0.0268,0.0583,2086,37548,113,238,317,668,0.009,0.019,0.0253,0.0534
CP001687,3077,55386,133,231,55,419,0.0072,0.0125,0.003,0.0227,3077,55386,102,216,61,379,0.0055,0.0117,0.0033,0.0205
CP001994,2095,37710,105,220,271,596,0.0084,0.0175,0.0216,0.0474,2095,37710,86,242,312,640,0.0068,0.0193,0.0248,0.0509
CP004145,2001,36018,155,169,485,809,0.0129,0.0141,0.0404,0.0674,2001,36018,137,178,530,845,0.0114,0.0148,0.0441,0.0704
CP002838,2038,36684,162,122,106,390,0.0132,0.01,0.0087,0.0319,2038,36684,204,115,110,429,0.0167,0.0094,0.009,0.0351
CP000852,2045,36810,188,230,648,1066,0.0153,0.0187,0.0528,0.0869,2045,36810,190,212,575,977,0.0155,0.0173,0.0469,0.0796
AE006641,3050,54900,319,295,783,1397,0.0174,0.0161,0.0428,0.0763,3050,54900,316,233,690,1239,0.0173,0.0127,0.0377,0.0677
CP002839,3685,66330,195,180,74,449,0.0088,0.0081,0.0033,0.0203,3685,66330,141,190,80,411,0.0064,0.0086,0.0036,0.0186
CP002069,2318,41724,118,192,486,796,0.0085,0.0138,0.0349,0.0572,2318,41724,120,185,458,763,0.0086,0.0133,0.0329,0.0549
CP001868,3018,54324,129,222,89,440,0.0071,0.0123,0.0049,0.0243,3018,54324,119,203,94,416,0.0066,0.0112,0.0052,0.023
CP002100,2593,46674,204,327,701,1232,0.0131,0.021,0.0451,0.0792,2593,46674,206,243,626,1075,0.0132,0.0156,0.0402,0.0691
CP001901,1879,33822,113,138,437,688,0.01,0.0122,0.0388,0.061,1879,33822,123,145,485,753,0.0109,0.0129,0.043,0.0668
CP002792,1662,29916,87,81,578,746,0.0087,0.0081,0.058,0.0748,1662,29916,90,115,620,825,0.009,0.0115,0.0622,0.0827
CP001690,2966,53388,129,220,73,422,0.0072,0.0124,0.0041,0.0237,2966,53388,129,218,85,432,0.0072,0.0122,0.0048,0.0243
CP003377,3835,69030,180,234,106,520,0.0078,0.0102,0.0046,0.0226,3835,69030,140,231,90,461,0.0061,0.01,0.0039,0.02
CP007174,3548,63864,275,386,377,1038,0.0129,0.0181,0.0177,0.0488,3548,63864,245,266,318,829,0.0115,0.0125,0.0149,0.0389
CP002565,2906,52308,181,311,266,758,0.0104,0.0178,0.0153,0.0435,2906,52308,163,310,266,739,0.0093,0.0178,0.0153,0.0424
CP001719,2283,41094,133,184,612,929,0.0097,0.0134,0.0447,0.0678,2283,41094,137,197,761,1095,0.01,0.0144,0.0556,0.0799
CP003362,2460,44280,144,273,300,717,0.0098,0.0185,0.0203,0.0486,2460,44280,121,249,316,686,0.0082,0.0169,0.0214,0.0465
AE010299,4662,83916,270,485,619,1374,0.0097,0.0173,0.0221,0.0491,4662,83916,229,481,645,1355,0.0082,0.0172,0.0231,0.0484
CP000866,1840,33120,155,228,315,698,0.014,0.0207,0.0285,0.0632,1840,33120,144,189,332,665,0.013,0.0171,0.0301,0.0602
CP001365,2802,50436,89,129,53,271,0.0053,0.0077,0.0032,0.0161,2802,50436,84,178,64,326,0.005,0.0106,0.0038,0.0194
CP001742,1551,27918,108,109,150,367,0.0116,0.0117,0.0161,0.0394,1551,27918,122,112,155,389,0.0131,0.012,0.0167,0.0418
CP003378,1576,28368,102,119,404,625,0.0108,0.0126,0.0427,0.0661,1576,28368,98,117,416,631,0.0104,0.0124,0.044,0.0667
CP002590,2229,40122,212,124,206,542,0.0159,0.0093,0.0154,0.0405,2229,40122,174,90,216,480,0.013,0.0067,0.0162,0.0359
HE613800,1891,34038,142,176,270,588,0.0125,0.0155,0.0238,0.0518,1891,34038,128,137,247,512,0.0113,0.0121,0.0218,0.0451
CP000493,1672,30096,186,79,94,359,0.0185,0.0079,0.0094,0.0358,1672,30096,191,66,98,355,0.019,0.0066,0.0098,0.0354
CP003929,4076,73368,161,201,60,422,0.0066,0.0082,0.0025,0.0173,4076,73368,177,215,75,467,0.0072,0.0088,0.0031,0.0191
CP002051,1716,30888,138,116,313,567,0.0134,0.0113,0.0304,0.0551,1716,30888,164,97,264,525,0.0159,0.0094,0.0256,0.051
CP003050,3187,57366,132,185,39,356,0.0069,0.0097,0.002,0.0186,3187,57366,97,213,57,367,0.0051,0.0111,0.003,0.0192
CP001939,1457,26226,104,141,215,460,0.0119,0.0161,0.0246,0.0526,1457,26226,113,137,203,453,0.0129,0.0157,0.0232,0.0518
BA000002,1700,30600,149,103,115,367,0.0146,0.0101,0.0113,0.036,1700,30600,160,79,120,359,0.0157,0.0077,0.0118,0.0352
CP001688,3277,58986,172,198,55,425,0.0087,0.0101,0.0028,0.0216,3277,58986,125,164,61,350,0.0064,0.0083,0.0031,0.0178
CP000559,1819,32742,75,189,138,402,0.0069,0.0173,0.0126,0.0368,1819,32742,84,166,162,412,0.0077,0.0152,0.0148,0.0377
AE000666,1916,34488,97,293,255,645,0.0084,0.0255,0.0222,0.0561,1916,34488,89,273,270,632,0.0077,0.0237,0.0235,0.055
CP000505,1879,33822,140,92,164,396,0.0124,0.0082,0.0145,0.0351,1879,33822,163,88,169,420,0.0145,0.0078,0.015,0.0373
CP000102,1588,28584,95,112,383,590,0.01,0.0118,0.0402,0.0619,1588,28584,101,114,478,693,0.0106,0.012,0.0502,0.0727
CP000682,2341,42138,234,280,384,898,0.0167,0.0199,0.0273,0.0639,2341,42138,243,232,329,804,0.0173,0.0165,0.0234,0.0572
AM114193,3085,55530,221,259,312,792,0.0119,0.014,0.0169,0.0428,3085,55530,210,269,347,826,0.0113,0.0145,0.0187,0.0446
CP007055,2999,53982,161,193,73,427,0.0089,0.0107,0.0041,0.0237,2999,53982,129,201,95,425,0.0072,0.0112,0.0053,0.0236
CP010529,3413,61434,201,239,71,511,0.0098,0.0117,0.0035,0.025,3413,61434,161,219,84,464,0.0079,0.0107,0.0041,0.0227
CP001338,2866,51588,115,345,145,605,0.0067,0.0201,0.0084,0.0352,2866,51588,89,312,159,560,0.0052,0.0181,0.0092,0.0326
HF582854,2883,51894,120,151,40,311,0.0069,0.0087,0.0023,0.018,2883,51894,115,146,75,336,0.0066,0.0084,0.0043,0.0194
CP006577,2657,47826,123,263,353,739,0.0077,0.0165,0.0221,0.0464,2657,47826,147,226,312,685,0.0092,0.0142,0.0196,0.043
CP001932,3658,65844,180,275,96,551,0.0082,0.0125,0.0044,0.0251,3658,65844,187,329,75,591,0.0085,0.015,0.0034,0.0269
CP003372,3880,69840,175,210,60,445,0.0075,0.009,0.0026,0.0191,3880,69840,153,189,71,413,0.0066,0.0081,0.003,0.0177
CP009552,2274,40932,90,260,225,575,0.0066,0.0191,0.0165,0.0421,2274,40932,53,235,230,518,0.0039,0.0172,0.0169,0.038
FR746099,2907,52326,195,431,310,936,0.0112,0.0247,0.0178,0.0537,2907,52326,179,421,266,866,0.0103,0.0241,0.0153,0.0497
CP006019,2046,36828,133,172,276,581,0.0108,0.014,0.0225,0.0473,2046,36828,107,174,253,534,0.0087,0.0142,0.0206,0.0435
CP003098,2891,52038,304,147,296,747,0.0175,0.0085,0.0171,0.0431,2891,52038,245,129,267,641,0.0141,0.0074,0.0154,0.037
HE964772,2628,47304,106,241,104,451,0.0067,0.0153,0.0066,0.0286,2628,47304,91,200,104,395,0.0058,0.0127,0.0066,0.0251
CP007536,3187,57366,250,280,314,844,0.0131,0.0146,0.0164,0.0441,3187,57366,213,265,245,723,0.0111,0.0139,0.0128,0.0378
CP001860,3842,69156,144,207,70,421,0.0062,0.009,0.003,0.0183,3842,69156,139,192,63,394,0.006,0.0083,0.0027,0.0171
CP002098,2039,36702,301,181,317,799,0.0246,0.0148,0.0259,0.0653,2039,36702,284,128,363,775,0.0232,0.0105,0.0297,0.0633
CP001899,2622,47196,182,259,352,793,0.0116,0.0165,0.0224,0.0504,2622,47196,122,203,323,648,0.0078,0.0129,0.0205,0.0412
CP002535,2424,43632,229,229,635,1093,0.0157,0.0157,0.0437,0.0752,2424,43632,232,187,585,1004,0.016,0.0129,0.0402,0.069
CP002057,1768,31824,79,95,611,785,0.0074,0.009,0.0576,0.074,1768,31824,100,98,758,956,0.0094,0.0092,0.0715,0.0901
CP003083,3229,58122,190,342,401,933,0.0098,0.0177,0.0207,0.0482,3229,58122,210,347,451,1008,0.0108,0.0179,0.0233,0.052
CP000816,1492,26856,106,83,107,296,0.0118,0.0093,0.012,0.0331,1492,26856,84,84,88,256,0.0094,0.0094,0.0098,0.0286
CP003685,2113,38034,129,182,270,581,0.0102,0.0144,0.0213,0.0458,2113,38034,156,181,260,597,0.0123,0.0143,0.0205,0.0471