accession,tot_UTRs,tot_seq,num_of_tag_coding,num_of_tga_coding,num_of_taa_coding,total_number_of_ASC_coding,frequency_tag_coding,frequency_tga_coding,frequency_taa_coding,frequency_ASC_coding,tot_UTRs_non_coding,tot_seq_non_coding,num_of_tag_non_coding,num_of_tga_non_coding,num_of_taa_non_coding,total_number_of_ASC_non_coding,frequency_tag_non_coding,frequency_tga_non_coding,frequency_taa_non_coding,frequency_ASC_non_coding
FO203503,4375,78750,159,516,759,1434,0.0061,0.0197,0.0289,0.0546,0,0,0,0,0,0,,,,
CP003260,2063,37134,120,193,280,593,0.0097,0.0156,0.0226,0.0479,45,810,5,2,2,9,0.0185,0.0074,0.0074,0.0333
CP003630,6391,115038,536,721,818,2075,0.014,0.0188,0.0213,0.0541,63,1134,3,13,10,26,0.0079,0.0344,0.0265,0.0688
CP001820,1923,34614,175,200,348,723,0.0152,0.0173,0.0302,0.0627,49,882,2,5,5,12,0.0068,0.017,0.017,0.0408
AP014821,3733,67194,329,444,1179,1952,0.0147,0.0198,0.0526,0.0872,31,558,3,6,5,14,0.0161,0.0323,0.0269,0.0753
CP001965,3050,54900,108,321,148,577,0.0059,0.0175,0.0081,0.0315,47,846,3,2,4,9,0.0106,0.0071,0.0142,0.0319
CP003364,7566,136188,145,643,192,980,0.0032,0.0142,0.0042,0.0216,113,2034,2,9,4,15,0.0029,0.0133,0.0059,0.0221
CP003558,3762,67716,301,419,430,1150,0.0133,0.0186,0.0191,0.0509,37,666,1,4,9,14,0.0045,0.018,0.0405,0.0631
CP003108,5627,101286,385,484,844,1713,0.0114,0.0143,0.025,0.0507,86,1548,8,9,14,31,0.0155,0.0174,0.0271,0.0601
CP002349,3849,69282,329,453,953,1735,0.0142,0.0196,0.0413,0.0751,39,702,4,4,10,18,0.0171,0.0171,0.0427,0.0769
CP000724,4941,88938,407,546,881,1834,0.0137,0.0184,0.0297,0.0619,120,2160,4,24,27,55,0.0056,0.0333,0.0375,0.0764
HF680312,3732,67176,307,392,557,1256,0.0137,0.0175,0.0249,0.0561,769,13842,61,62,112,235,0.0132,0.0134,0.0243,0.0509
CP009440,2090,37620,241,211,573,1025,0.0192,0.0168,0.0457,0.0817,41,738,3,2,8,13,0.0122,0.0081,0.0325,0.0528
CP001230,2023,36414,132,202,382,716,0.0109,0.0166,0.0315,0.059,21,378,1,2,6,9,0.0079,0.0159,0.0476,0.0714
AP011121,2628,47304,126,177,187,490,0.008,0.0112,0.0119,0.0311,0,0,0,0,0,0,,,,
CP001322,5361,96498,182,467,472,1121,0.0057,0.0145,0.0147,0.0349,49,882,2,3,3,8,0.0068,0.0102,0.0102,0.0272
FP929050,3629,65322,228,504,523,1255,0.0105,0.0231,0.024,0.0576,0,0,0,0,0,0,,,,
CP006664,4224,76032,191,371,326,888,0.0075,0.0146,0.0129,0.035,95,1710,4,10,10,24,0.007,0.0175,0.0175,0.0421
CP003466,4470,80460,136,429,172,737,0.0051,0.016,0.0064,0.0275,42,756,3,2,1,6,0.0119,0.0079,0.004,0.0238
CP003870,3040,54720,130,246,363,739,0.0071,0.0135,0.0199,0.0405,42,756,1,3,7,11,0.004,0.0119,0.0278,0.0437
HG938353,4538,81684,123,393,132,648,0.0045,0.0144,0.0048,0.0238,41,738,0,2,1,3,0,0.0081,0.0041,0.0122
CP003470,3958,71244,62,254,54,370,0.0026,0.0107,0.0023,0.0156,50,900,4,1,2,7,0.0133,0.0033,0.0067,0.0233
CP000749,4598,82764,345,438,765,1548,0.0125,0.0159,0.0277,0.0561,83,1494,19,7,15,41,0.0382,0.0141,0.0301,0.0823
CP000319,4100,73800,110,292,113,515,0.0045,0.0119,0.0046,0.0209,49,882,3,3,2,8,0.0102,0.0102,0.0068,0.0272
CP002959,4185,75330,177,385,282,844,0.007,0.0153,0.0112,0.0336,31,558,3,4,5,12,0.0161,0.0215,0.0269,0.0645
CP000088,3184,57312,77,175,41,293,0.004,0.0092,0.0021,0.0153,54,972,1,7,0,8,0.0031,0.0216,0,0.0247
CP001699,7400,133200,609,785,1453,2847,0.0137,0.0177,0.0327,0.0641,88,1584,15,14,9,38,0.0284,0.0265,0.017,0.072
CP007034,2614,47052,139,233,334,706,0.0089,0.0149,0.0213,0.045,63,1134,1,5,7,13,0.0026,0.0132,0.0185,0.0344
CP002666,3864,69552,33,132,8,173,0.0014,0.0057,0.0003,0.0075,51,918,2,3,2,7,0.0065,0.0098,0.0065,0.0229
AP012035,3449,62082,61,226,45,332,0.0029,0.0109,0.0022,0.016,0,0,0,0,0,0,,,,
CP009495,6791,122238,164,504,78,746,0.004,0.0124,0.0019,0.0183,49,882,2,2,1,5,0.0068,0.0068,0.0034,0.017
CP007035,4184,75312,269,426,829,1524,0.0107,0.017,0.033,0.0607,32,576,1,4,6,11,0.0052,0.0208,0.0312,0.0573
CP002667,2581,46458,153,259,534,946,0.0099,0.0167,0.0345,0.0611,61,1098,1,3,13,17,0.0027,0.0082,0.0355,0.0464
CP003563,6222,111996,175,449,141,765,0.0047,0.012,0.0038,0.0205,41,738,2,3,1,6,0.0081,0.0122,0.0041,0.0244
AM236080,4733,85194,100,425,156,681,0.0035,0.015,0.0055,0.024,1,18,0,0,1,1,0,0,0.1667,0.1667
CP004025,8128,146304,141,425,40,606,0.0029,0.0087,0.0008,0.0124,65,1170,0,10,2,12,0,0.0256,0.0051,0.0308
CP000089,4283,77094,145,418,159,722,0.0056,0.0163,0.0062,0.0281,60,1080,6,5,1,12,0.0167,0.0139,0.0028,0.0333
CP010820,4768,85824,352,443,693,1488,0.0123,0.0155,0.0242,0.052,103,1854,17,6,14,37,0.0275,0.0097,0.0227,0.0599
CP009302,1475,26550,39,86,37,162,0.0044,0.0097,0.0042,0.0183,44,792,1,3,3,7,0.0038,0.0114,0.0114,0.0265
CP000820,7377,132786,126,393,62,581,0.0028,0.0089,0.0014,0.0131,48,864,2,1,2,5,0.0069,0.0035,0.0069,0.0174
CP002630,2310,41580,114,90,60,264,0.0082,0.0065,0.0043,0.019,55,990,5,0,2,7,0.0152,0,0.0061,0.0212
CP007062,2478,44604,179,155,675,1009,0.012,0.0104,0.0454,0.0679,48,864,3,1,8,12,0.0104,0.0035,0.0278,0.0417
CP000031,3923,70614,83,285,68,436,0.0035,0.0121,0.0029,0.0185,34,612,1,6,7,14,0.0049,0.0294,0.0343,0.0686
FP929047,2025,36450,46,85,41,172,0.0038,0.007,0.0034,0.0142,0,0,0,0,0,0,,,,
CP003488,4194,75492,327,521,771,1619,0.013,0.0207,0.0306,0.0643,79,1422,2,8,9,19,0.0042,0.0169,0.019,0.0401
CP004121,5831,104958,435,499,1685,2619,0.0124,0.0143,0.0482,0.0749,86,1548,12,4,49,65,0.0233,0.0078,0.095,0.126
AP009510,761,13698,46,71,162,279,0.0101,0.0155,0.0355,0.0611,0,0,0,0,0,0,,,,
CP002364,3408,61344,72,258,121,451,0.0035,0.0126,0.0059,0.0221,47,846,3,1,6,10,0.0106,0.0035,0.0213,0.0355
FR872582,2380,42840,166,264,359,789,0.0116,0.0185,0.0251,0.0553,0,0,0,0,0,0,,,,
BA000012,6752,121536,189,504,125,818,0.0047,0.0124,0.0031,0.0202,0,0,0,0,0,0,,,,
CP003349,4490,80820,457,509,1224,2190,0.017,0.0189,0.0454,0.0813,50,900,0,3,11,14,0,0.01,0.0367,0.0467
CU207211,3352,60336,154,386,265,805,0.0077,0.0192,0.0132,0.04,43,774,7,9,4,20,0.0271,0.0349,0.0155,0.0775
CP009416,3803,68454,187,446,454,1087,0.0082,0.0195,0.0199,0.0476,78,1404,4,16,13,33,0.0085,0.0342,0.0278,0.0705
CP000267,4304,77472,143,448,188,779,0.0055,0.0173,0.0073,0.0302,49,882,0,4,5,9,0,0.0136,0.017,0.0306
HG315671,3518,63324,342,307,1127,1776,0.0162,0.0145,0.0534,0.0841,0,0,0,0,0,0,,,,
AE016825,4529,81522,147,323,139,609,0.0054,0.0119,0.0051,0.0224,94,1692,3,8,3,14,0.0053,0.0142,0.0053,0.0248
AP014565,4947,89046,229,559,558,1346,0.0077,0.0188,0.0188,0.0453,0,0,0,0,0,0,,,,
CP001071,2240,40320,71,208,155,434,0.0053,0.0155,0.0115,0.0323,45,810,1,3,4,8,0.0037,0.0111,0.0148,0.0296
CP001708,1803,32454,180,188,407,775,0.0166,0.0174,0.0376,0.0716,53,954,10,8,16,34,0.0314,0.0252,0.0503,0.1069
CP001821,3443,61974,46,164,8,218,0.0022,0.0079,0.0004,0.0106,58,1044,0,6,1,7,0,0.0172,0.0029,0.0201
CP000733,2303,41454,148,189,334,671,0.0107,0.0137,0.0242,0.0486,38,684,3,6,7,16,0.0132,0.0263,0.0307,0.0702
CP002831,4267,76806,458,319,571,1348,0.0179,0.0125,0.0223,0.0527,43,774,6,3,5,14,0.0233,0.0116,0.0194,0.0543
AP012331,2572,46296,63,191,54,308,0.0041,0.0124,0.0035,0.02,0,0,0,0,0,0,,,,
FO082060,4083,73494,289,463,562,1314,0.0118,0.0189,0.0229,0.0536,53,954,0,4,7,11,0,0.0126,0.022,0.0346
BA000028,3496,62928,285,330,611,1226,0.0136,0.0157,0.0291,0.0584,0,0,0,0,0,0,,,,
CP003236,3611,64998,35,239,32,306,0.0016,0.011,0.0015,0.0141,31,558,1,1,1,3,0.0054,0.0054,0.0054,0.0161
CP000158,3568,64224,100,299,115,514,0.0047,0.014,0.0054,0.024,34,612,2,5,2,9,0.0098,0.0245,0.0098,0.0441
CP003646,4929,88722,496,529,738,1763,0.0168,0.0179,0.025,0.0596,49,882,5,3,7,15,0.017,0.0102,0.0238,0.051
CP002542,4131,74358,378,512,837,1727,0.0153,0.0207,0.0338,0.0697,43,774,3,5,3,11,0.0116,0.0194,0.0116,0.0426
CP011047,4485,80730,141,436,438,1015,0.0052,0.0162,0.0163,0.0377,80,1440,3,6,6,15,0.0063,0.0125,0.0125,0.0312
CP001801,2465,44370,98,285,174,557,0.0066,0.0193,0.0118,0.0377,50,900,0,5,5,10,0,0.0167,0.0167,0.0333
AP014800,4354,78372,62,247,41,350,0.0024,0.0095,0.0016,0.0134,36,648,8,4,4,16,0.037,0.0185,0.0185,0.0741
FP476056,4738,85284,477,431,881,1789,0.0168,0.0152,0.031,0.0629,0,0,0,0,0,0,,,,
CP007202,2860,51480,225,238,873,1336,0.0131,0.0139,0.0509,0.0779,35,630,0,4,7,11,0,0.019,0.0333,0.0524
CP000482,3685,66330,130,350,153,633,0.0059,0.0158,0.0069,0.0286,50,900,5,5,5,15,0.0167,0.0167,0.0167,0.05
CP001769,6701,120618,685,812,1021,2518,0.017,0.0202,0.0254,0.0626,48,864,4,4,6,14,0.0139,0.0139,0.0208,0.0486
AM420293,7198,129564,92,285,52,429,0.0021,0.0066,0.0012,0.0099,2,36,0,0,0,0,0,0,0,0
CP005383,2858,51444,203,316,511,1030,0.0118,0.0184,0.0298,0.0601,76,1368,4,6,19,29,0.0088,0.0132,0.0417,0.0636
CP003607,6001,108018,427,632,678,1737,0.0119,0.0176,0.0188,0.0482,65,1170,2,3,12,17,0.0051,0.0077,0.0308,0.0436
CP003257,2117,38106,124,225,552,901,0.0098,0.0177,0.0435,0.0709,45,810,4,3,6,13,0.0148,0.0111,0.0222,0.0481
CP003742,4862,87516,206,367,239,812,0.0071,0.0126,0.0082,0.0278,33,594,0,3,7,10,0,0.0152,0.0354,0.0505
CP003191,3207,57726,149,334,413,896,0.0077,0.0174,0.0215,0.0466,38,684,0,5,3,8,0,0.0219,0.0132,0.0351
CP001397,3666,65988,365,427,929,1721,0.0166,0.0194,0.0422,0.0782,33,594,1,5,12,18,0.0051,0.0253,0.0606,0.0909
AM260479,3650,65700,72,238,61,371,0.0033,0.0109,0.0028,0.0169,0,0,0,0,0,0,,,,
CP001682,1422,25596,78,125,95,298,0.0091,0.0147,0.0111,0.0349,44,792,4,4,8,16,0.0152,0.0152,0.0303,0.0606
CP003345,4089,73602,434,457,1110,2001,0.0177,0.0186,0.0452,0.0816,48,864,3,4,17,24,0.0104,0.0139,0.059,0.0833
CR522870,3118,56124,242,304,408,954,0.0129,0.0162,0.0218,0.051,0,0,0,0,0,0,,,,
CP002738,4673,84114,258,442,606,1306,0.0092,0.0158,0.0216,0.0466,56,1008,2,9,15,26,0.006,0.0268,0.0446,0.0774
CP001616,3292,59256,144,391,401,936,0.0073,0.0198,0.0203,0.0474,103,1854,9,11,16,36,0.0146,0.0178,0.0259,0.0583
CP000284,2814,50652,151,356,184,691,0.0089,0.0211,0.0109,0.0409,48,864,3,4,5,12,0.0104,0.0139,0.0174,0.0417
CP002606,1780,32040,138,143,314,595,0.0129,0.0134,0.0294,0.0557,46,828,2,4,12,18,0.0072,0.0145,0.0435,0.0652
CP008876,3253,58554,226,288,409,923,0.0116,0.0148,0.021,0.0473,66,1188,6,5,11,22,0.0152,0.0126,0.0278,0.0556
CP009621,4643,83574,462,361,768,1591,0.0166,0.013,0.0276,0.0571,70,1260,4,6,6,16,0.0095,0.0143,0.0143,0.0381
AP014569,2389,43002,87,172,80,339,0.0061,0.012,0.0056,0.0237,0,0,0,0,0,0,,,,
CP002344,2435,43830,21,72,9,102,0.0014,0.0049,0.0006,0.007,42,756,2,4,1,7,0.0079,0.0159,0.004,0.0278
CP003943,6250,112500,572,722,909,2203,0.0153,0.0193,0.0242,0.0587,63,1134,6,10,5,21,0.0159,0.0265,0.0132,0.0556
CP000103,2828,50904,112,317,168,597,0.0066,0.0187,0.0099,0.0352,38,684,4,3,4,11,0.0175,0.0132,0.0175,0.0482
CP001712,3259,58662,186,250,312,748,0.0095,0.0128,0.016,0.0383,35,630,2,2,7,11,0.0095,0.0095,0.0333,0.0524
CP003390,3096,55728,203,381,508,1092,0.0109,0.0205,0.0273,0.0588,43,774,0,8,7,15,0,0.031,0.0271,0.0581
CP007445,2869,51642,219,295,820,1334,0.0127,0.0171,0.0476,0.0775,52,936,2,4,11,17,0.0064,0.0128,0.0353,0.0545
CP001968,3073,55314,182,373,530,1085,0.0099,0.0202,0.0287,0.0588,49,882,2,4,12,18,0.0068,0.0136,0.0408,0.0612
CP003778,4746,85428,86,309,73,468,0.003,0.0109,0.0026,0.0164,46,828,4,9,2,15,0.0145,0.0326,0.0072,0.0543
CP002305,3666,65988,367,348,681,1396,0.0167,0.0158,0.031,0.0635,40,720,1,2,5,8,0.0042,0.0083,0.0208,0.0333
CP001196,3782,68076,91,311,114,516,0.004,0.0137,0.005,0.0227,42,756,1,5,1,7,0.004,0.0198,0.004,0.0278
CP002916,1577,28386,60,143,92,295,0.0063,0.0151,0.0097,0.0312,36,648,1,3,3,7,0.0046,0.0139,0.0139,0.0324
AE009439,1729,31122,59,129,47,235,0.0057,0.0124,0.0045,0.0227,20,360,0,3,0,3,0,0.025,0,0.025
CP003167,2924,52632,63,255,161,479,0.0036,0.0145,0.0092,0.0273,33,594,0,1,4,5,0,0.0051,0.0202,0.0253
CP006670,2575,46350,140,239,349,728,0.0091,0.0155,0.0226,0.0471,23,414,1,1,4,6,0.0072,0.0072,0.029,0.0435
CP002737,1843,33174,100,137,374,611,0.009,0.0124,0.0338,0.0553,25,450,1,0,5,6,0.0067,0,0.0333,0.04
BA000011,1526,27468,119,154,304,577,0.013,0.0168,0.0332,0.063,0,0,0,0,0,0,,,,
CP002062,3083,55494,145,157,70,372,0.0078,0.0085,0.0038,0.0201,35,630,0,4,0,4,0,0.019,0,0.019
AE017261,1535,27630,73,158,493,724,0.0079,0.0172,0.0535,0.0786,0,0,0,0,0,0,,,,
CP007060,3052,54936,117,132,27,276,0.0064,0.0072,0.0015,0.0151,35,630,2,2,0,4,0.0095,0.0095,0,0.019
CP009479,2004,36072,107,203,209,519,0.0089,0.0169,0.0174,0.0432,29,522,2,4,4,10,0.0115,0.023,0.023,0.0575
CP000300,2500,45000,172,280,360,812,0.0115,0.0187,0.024,0.0541,48,864,3,4,9,16,0.0104,0.0139,0.0312,0.0556
CP002278,1352,24336,101,145,283,529,0.0125,0.0179,0.0349,0.0652,31,558,1,2,5,8,0.0054,0.0108,0.0269,0.043
CP003423,1439,25902,89,132,269,490,0.0103,0.0153,0.0312,0.0568,27,486,1,2,3,6,0.0062,0.0123,0.0185,0.037
CP003531,1466,26388,132,115,123,370,0.015,0.0131,0.014,0.0421,33,594,3,0,7,10,0.0152,0,0.0354,0.0505
CP003321,1522,27396,123,139,225,487,0.0135,0.0152,0.0246,0.0533,41,738,2,4,9,15,0.0081,0.0163,0.0366,0.061
CP002117,2881,51858,102,320,403,825,0.0059,0.0185,0.0233,0.0477,37,666,2,5,8,15,0.009,0.0225,0.036,0.0676
CP001941,1587,28566,97,137,260,494,0.0102,0.0144,0.0273,0.0519,29,522,0,3,2,5,0,0.0172,0.0115,0.0287
CP000254,3304,59472,162,443,333,938,0.0082,0.0223,0.0168,0.0473,43,774,0,3,4,7,0,0.0116,0.0155,0.0271
CP002551,2584,46512,142,236,634,1012,0.0092,0.0152,0.0409,0.0653,38,684,3,2,16,21,0.0132,0.0088,0.0702,0.0921
CP002101,2086,37548,128,266,336,730,0.0102,0.0213,0.0268,0.0583,40,720,2,6,7,15,0.0083,0.025,0.0292,0.0625
CP001687,3077,55386,133,231,55,419,0.0072,0.0125,0.003,0.0227,36,648,0,2,0,2,0,0.0093,0,0.0093
CP001994,2095,37710,105,220,271,596,0.0084,0.0175,0.0216,0.0474,48,864,1,3,6,10,0.0035,0.0104,0.0208,0.0347
CP004145,2001,36018,155,169,485,809,0.0129,0.0141,0.0404,0.0674,33,594,5,4,16,25,0.0253,0.0202,0.0808,0.1263
CP002838,2038,36684,162,122,106,390,0.0132,0.01,0.0087,0.0319,37,666,3,1,1,5,0.0135,0.0045,0.0045,0.0225
CP000852,2045,36810,188,230,648,1066,0.0153,0.0187,0.0528,0.0869,35,630,4,7,5,16,0.019,0.0333,0.0238,0.0762
AE006641,3050,54900,319,295,783,1397,0.0174,0.0161,0.0428,0.0763,37,666,8,6,12,26,0.036,0.027,0.0541,0.1171
CP002839,3685,66330,195,180,74,449,0.0088,0.0081,0.0033,0.0203,41,738,1,0,0,1,0.0041,0,0,0.0041
CP002069,2318,41724,118,192,486,796,0.0085,0.0138,0.0349,0.0572,41,738,1,7,7,15,0.0041,0.0285,0.0285,0.061
CP001868,3018,54324,129,222,89,440,0.0071,0.0123,0.0049,0.0243,37,666,0,3,4,7,0,0.0135,0.018,0.0315
CP002100,2593,46674,204,327,701,1232,0.0131,0.021,0.0451,0.0792,33,594,3,2,4,9,0.0152,0.0101,0.0202,0.0455
CP001901,1879,33822,113,138,437,688,0.01,0.0122,0.0388,0.061,30,540,4,0,2,6,0.0222,0,0.0111,0.0333
CP002792,1662,29916,87,81,578,746,0.0087,0.0081,0.058,0.0748,31,558,3,3,8,14,0.0161,0.0161,0.043,0.0753
CP001690,2966,53388,129,220,73,422,0.0072,0.0124,0.0041,0.0237,35,630,0,3,1,4,0,0.0143,0.0048,0.019
CP003377,3835,69030,180,234,106,520,0.0078,0.0102,0.0046,0.0226,49,882,0,1,1,2,0,0.0034,0.0034,0.0068
CP007174,3548,63864,275,386,377,1038,0.0129,0.0181,0.0177,0.0488,22,396,0,2,3,5,0,0.0152,0.0227,0.0379
CP002565,2906,52308,181,311,266,758,0.0104,0.0178,0.0153,0.0435,30,540,2,5,4,11,0.0111,0.0278,0.0222,0.0611
CP001719,2283,41094,133,184,612,929,0.0097,0.0134,0.0447,0.0678,37,666,1,6,12,19,0.0045,0.027,0.0541,0.0856
CP003362,2460,44280,144,273,300,717,0.0098,0.0185,0.0203,0.0486,30,540,3,6,3,12,0.0167,0.0333,0.0167,0.0667
AE010299,4662,83916,270,485,619,1374,0.0097,0.0173,0.0221,0.0491,11,198,1,0,2,3,0.0152,0,0.0303,0.0455
CP000866,1840,33120,155,228,315,698,0.014,0.0207,0.0285,0.0632,28,504,0,7,7,14,0,0.0417,0.0417,0.0833
CP001365,2802,50436,89,129,53,271,0.0053,0.0077,0.0032,0.0161,42,756,3,4,3,10,0.0119,0.0159,0.0119,0.0397
CP001742,1551,27918,108,109,150,367,0.0116,0.0117,0.0161,0.0394,30,540,6,2,6,14,0.0333,0.0111,0.0333,0.0778
CP003378,1576,28368,102,119,404,625,0.0108,0.0126,0.0427,0.0661,42,756,2,2,16,20,0.0079,0.0079,0.0635,0.0794
CP002590,2229,40122,212,124,206,542,0.0159,0.0093,0.0154,0.0405,28,504,3,0,1,4,0.0179,0,0.006,0.0238
HE613800,1891,34038,142,176,270,588,0.0125,0.0155,0.0238,0.0518,0,0,0,0,0,0,,,,
CP000493,1672,30096,186,79,94,359,0.0185,0.0079,0.0094,0.0358,32,576,0,1,2,3,0,0.0052,0.0104,0.0156
CP003929,4076,73368,161,201,60,422,0.0066,0.0082,0.0025,0.0173,45,810,2,3,1,6,0.0074,0.0111,0.0037,0.0222
CP002051,1716,30888,138,116,313,567,0.0134,0.0113,0.0304,0.0551,48,864,4,3,5,12,0.0139,0.0104,0.0174,0.0417
CP003050,3187,57366,132,185,39,356,0.0069,0.0097,0.002,0.0186,32,576,0,1,0,1,0,0.0052,0,0.0052
CP001939,1457,26226,104,141,215,460,0.0119,0.0161,0.0246,0.0526,33,594,3,3,14,20,0.0152,0.0152,0.0707,0.101
BA000002,1700,30600,149,103,115,367,0.0146,0.0101,0.0113,0.036,0,0,0,0,0,0,,,,
CP001688,3277,58986,172,198,55,425,0.0087,0.0101,0.0028,0.0216,54,972,3,4,1,8,0.0093,0.0123,0.0031,0.0247
CP000559,1819,32742,75,189,138,402,0.0069,0.0173,0.0126,0.0368,35,630,2,4,2,8,0.0095,0.019,0.0095,0.0381
AE000666,1916,34488,97,293,255,645,0.0084,0.0255,0.0222,0.0561,27,486,3,2,3,8,0.0185,0.0123,0.0185,0.0494
CP000505,1879,33822,140,92,164,396,0.0124,0.0082,0.0145,0.0351,33,594,2,2,4,8,0.0101,0.0101,0.0202,0.0404
CP000102,1588,28584,95,112,383,590,0.01,0.0118,0.0402,0.0619,26,468,2,9,10,21,0.0128,0.0577,0.0641,0.1346
CP000682,2341,42138,234,280,384,898,0.0167,0.0199,0.0273,0.0639,27,486,3,5,2,10,0.0185,0.0309,0.0123,0.0617
AM114193,3085,55530,221,259,312,792,0.0119,0.014,0.0169,0.0428,0,0,0,0,0,0,,,,
CP007055,2999,53982,161,193,73,427,0.0089,0.0107,0.0041,0.0237,35,630,0,4,0,4,0,0.019,0,0.019
CP010529,3413,61434,201,239,71,511,0.0098,0.0117,0.0035,0.025,36,648,0,3,0,3,0,0.0139,0,0.0139
CP001338,2866,51588,115,345,145,605,0.0067,0.0201,0.0084,0.0352,68,1224,1,9,9,19,0.0025,0.0221,0.0221,0.0466
HF582854,2883,51894,120,151,40,311,0.0069,0.0087,0.0023,0.018,8,144,2,0,0,2,0.0417,0,0,0.0417
CP006577,2657,47826,123,263,353,739,0.0077,0.0165,0.0221,0.0464,40,720,1,5,4,10,0.0042,0.0208,0.0167,0.0417
CP001932,3658,65844,180,275,96,551,0.0082,0.0125,0.0044,0.0251,43,774,2,4,2,8,0.0078,0.0155,0.0078,0.031
CP003372,3880,69840,175,210,60,445,0.0075,0.009,0.0026,0.0191,39,702,0,0,0,0,0,0,0,0
CP009552,2274,40932,90,260,225,575,0.0066,0.0191,0.0165,0.0421,32,576,1,4,2,7,0.0052,0.0208,0.0104,0.0365
FR746099,2907,52326,195,431,310,936,0.0112,0.0247,0.0178,0.0537,41,738,1,7,2,10,0.0041,0.0285,0.0081,0.0407
CP006019,2046,36828,133,172,276,581,0.0108,0.014,0.0225,0.0473,26,468,3,1,4,8,0.0192,0.0064,0.0256,0.0513
CP003098,2891,52038,304,147,296,747,0.0175,0.0085,0.0171,0.0431,21,378,1,1,0,2,0.0079,0.0079,0,0.0159
HE964772,2628,47304,106,241,104,451,0.0067,0.0153,0.0066,0.0286,33,594,1,1,5,7,0.0051,0.0051,0.0253,0.0354
CP007536,3187,57366,250,280,314,844,0.0131,0.0146,0.0164,0.0441,27,486,2,0,0,2,0.0123,0,0,0.0123
CP001860,3842,69156,144,207,70,421,0.0062,0.009,0.003,0.0183,45,810,0,2,2,4,0,0.0074,0.0074,0.0148
CP002098,2039,36702,301,181,317,799,0.0246,0.0148,0.0259,0.0653,41,738,2,0,12,14,0.0081,0,0.0488,0.0569
CP001899,2622,47196,182,259,352,793,0.0116,0.0165,0.0224,0.0504,42,756,4,3,9,16,0.0159,0.0119,0.0357,0.0635
CP002535,2424,43632,229,229,635,1093,0.0157,0.0157,0.0437,0.0752,46,828,5,3,12,20,0.0181,0.0109,0.0435,0.0725
CP002057,1768,31824,79,95,611,785,0.0074,0.009,0.0576,0.074,29,522,6,1,8,15,0.0345,0.0057,0.046,0.0862
CP003083,3229,58122,190,342,401,933,0.0098,0.0177,0.0207,0.0482,38,684,4,4,4,12,0.0175,0.0175,0.0175,0.0526
CP000816,1492,26856,106,83,107,296,0.0118,0.0093,0.012,0.0331,36,648,2,1,3,6,0.0093,0.0046,0.0139,0.0278
CP003685,2113,38034,129,182,270,581,0.0102,0.0144,0.0213,0.0458,21,378,2,0,2,4,0.0159,0,0.0159,0.0317